bookEdition,description,id,GoodReadAverageRating,Language,NumberofRatings,author,numberofpages,title,bookformat
Points,"« On peut lire Ti Jean L""horizon comme une aventure extraordinaire, un conte d""amour, une histoire de sorcellerie, un ouvrage de science-fiction où la Bête jouerait le rôle de machine à remonter le temps ; mais c""est aussi une quête de l""identité, un voyage que j""aurais fait au bout de ma nuit antillaise, pour tenter de l""exorciser. Comme mon héros, j""aimerais dire que je ne suis qu""un enfant et le monde un moulin à mystères. »",1101090,4.0,French,18,Simone Schwarz-Bart,285 pages,Between Two Worlds (Caribbean Writers),Mass Market Paperback
Book Club Edition,But even the fre,1629048,3.93,English,9271,Daphne du Maurier,253 pages,Frenchman's Creek,Hardcover
Large Print,"Sookie Stackhouse is a small-time cocktail waitress in small-town Louisiana. She's quiet, keeps to herself, and doesn't get out much. Not because she's not pretty. She is. It's just that, well, Sookie has this sort of ""disability."" She can read minds. And that doesn't make her too dateable. And then along comes Bill. He's tall, dark, handsome--and Sookie can't hear a word he's thinking. He's exactly the type of guy she's been waiting for all her life....",491309,3.96,English,446560,Charlaine Harris,404 pages,Dead Until Dark,Paperback
Large Print,"Samuel Taylor Coleridge was an English poet, critic, and philosopher who was, along with his friend William Wordsworth, one of the founders of the Romantic Movement in England and one of the Lake Poets. He is probably best known for his poems ",2302985,3.93,English,40070,Samuel Taylor Coleridge,48 pages,The Rime of the Ancient Mariner,Paperback
Seventh Edition,"This fourth edition is a revision of the successful introduction to film appreciation and aesthetics. It begins with an overview of film production, moves on to a consideration of the formal elements and techniques, covers film criticism and concludes with a brief section highlighting the key moments in film history. Illustrated with over 500 frame enlargements, many in colour, ""Film Art"" has been updated to include analysis of some of the most interesting films of recent years including ""Raging Bull"" and ""Desperately Seeking Susan"".",72363,4.03,English,1621,David Bordwell,532 pages,Film Art: An Introduction,Unknown Binding
Zoom,"Un Angelo è caduto sui marciapiedi di Quarto Oggiaro. Dove guardava Dio in quel momento, mentre Graziella Girgenti precipitava? Un mistero legato a una porta chiusa e alla sua chiave scomparsa, ai segni viola lasciati da grani di un rosario, agli abiti avvolti nel cellophane con cura devota. Un mistero che riconduce a Marco, il Pitbull del quartiere, uscito di gabbia senza mai conoscere affetto o devozione. La storia di una donna che non ha mai smesso di credere e di un uomo che non rispetta nè le leggi degli uomini nè quelle delle bestie.",22017733,3.13,Italian,15,Gianni Biondillo,11 pages,L'angelo e il pitbull,ebook
Color Edition,"Just when you thought you knew all there was to know about Scott Pilgrim comes Scott Pilgrim Color Hardcover Volume 1: Precious Little Life! The first in a series of brand-new hardcover editions, this remastered, 6""x9"" hardcover presents Scott's first ""evil ex"" battle as you've never seen it before - in full-color! Plus, previously unpublished extras and bonus materials make this mighty tome one that's required reading for Scottaholics everywhere!",14080417,4.18,English,132416,Bryan Lee O'Malley,179 pages,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Hardcover
Nuovi Coralli #246,"Mercoledì 20 febbraio 1974, vigilia di carnevale, Katharina Blum, 27 anni, cameriera presso una famiglia della buona borghesia di Colonia, esce di casa per recarsi a una festa da ballo. Quattro giorni dopo suona alla porta del commissario Moeding, “intento a travestirsi da sceicco per ragioni private ma di servizio”, e gli confessa di aver ucciso a colpi di pistola il giornalista Werner Tötges.",15506975,3.69,Italian,8044,Heinrich Böll,146 pages,Die verlorene Ehre der Katharina Blum oder: Wie Gewalt entsteht und wohin sie führen kann,Paperback
Panorama de narrativas,"Publicada dos semanas después del setenta aniversario de Nabokov, ""Ada o el ardor"" supone la cumbre de la narrativa de uno de los autores más relevantes del siglo XX. En ella se aborda la singular crónica familiar e historia de amor (incestuoso), de Ada y Veen, dos hermanos que, habiendo crecido separados creen que su parentesco es más lejano del que en realidad es y por ello, siendo ambos adolescentes, se atreven a cruzar la línea y mantener un encuentro sexual en la finca familiar de Ardis (el Jardín del Edén), que supone el inicio de un idilio que a lo largo de los años será rico en encuentros y desencuentros. Con motivo del noventa y siete cumpleaños de Van, inmersos en la más placentera nostalgia, contemplan los distintos avatares de su amor convencidos de que la felicidad y el éxtasis más ardoroso están al alcance de la mano de todo aquel que conserve el arte de la memoria.",1654509,4.15,Spanish,7664,Vladimir Nabokov,480 pages,Ada or Ardor: A Family Chronicle,Paperback
Cátedra Base,"'Muse, tell me of a man: a man of much resource, who was made to wander far and long, after he had sacked the sacred city of Troy. Many were the men whose lands he saw and came to know their thinking: many too the miseries at sea, which he suffered in his heart, as he sought to win his own life and the safety of his companions.' Recounting the epic journey home of Odysseus from the Trojan War, ",2514798,3.73,Spanish,715062,Homer,224 pages,Ὀδύσσεια,Paperback
