id,bookEdition,GoodReadAverageRating,numberofpages,bookformat,NumberofRatings,description,Language,author,title
52372,New Edition,3.84,224 pages,Paperback,24889,"First published in 1973, this is a study of the force of photographic images which are continually inserted between experience and reality. Sontag develops further the concept of 'transparency'. When anything can be photographed and photography has destroyed the boundaries and definitions of art, a viewer can approach a photograph freely with no expectations of discovering what it means. This collection of six lucid and invigorating essays, the most famous being ""In Plato's Cave"", make up a deep exploration of how the image has affected society.",English,Susan Sontag,On Photography
22896,Reissue,3.8,286 pages,Paperback,36410, bestselling author Alice Hoffman.,English,Alice Hoffman,Practical Magic
23395680,First Edition,4.32,608 pages,Hardcover,50863,"The year is 2575, and two rival megacorporations are at war over a planet that’s little more than an ice-covered speck at the edge of the universe. Too bad nobody thought to warn the people living on it. With enemy fire raining down on them, Kady",English,Amie Kaufman,Illuminae
331319,First Signet Classic Printing (Lingeman Introduction),3.94,859 pages,Paperback,27218," is the story of the corruption and destruction of one man, Clyde Griffiths, who forfeits his life in desperate pursuit of success. On a deeper, more profound level, the novel represents a massive portrayal of the society whose values both shape Clyde's tawdry ambitions and seal his fate: It is an unsurpassed depiction of the harsh realitie",English,Theodore Dreiser,An American Tragedy 
10,Box Set,4.73,3342 pages,Hardcover,26543,"Follow Harry from his first days at Hogwarts School for Witchcraft and Wizardry, through his many adventures with Hermione and Ron, to his confrontations with rival Draco Malfoy and the dreaded Professor Snape. From the thrilling search for the Sorce",English,J.K. Rowling,"Harry Potter Collection (Harry Potter, #1-6)"
30016,15th printing,4.12,208 pages,Mass Market Paperback,31852,"On the beautiful Outer World planet of Solaria, a handful of human colonists lead a hermit-like existence, their every need attended to by their faithful robot servants. To this strange and provocative planet come",English,Isaac Asimov,The Naked Sun
44170,First Edition,3.93,364 pages,Hardcover,38163,"When Alyss Heart, newly orphaned heir to the Wonderland throne, flees through the Pool of Tears to escape her murderous Aunt Redd, she finds herself lost and alone in Victorian London. Befriended by an aspiring author named Lewis Carrol, Alyss tells the violent, heartbreaking story of her young life. Alyss trusts this author to tell the truth so that someone, somewhere will find her and bring her home. But he gets the story all wrong. He even spells her name incorrectly!",English,Frank Beddor,The Looking Glass Wars
10836728,1st Edition,4.12,496 pages,Hardcover,33136,She soon learns that she is,English,Daniel O'Malley,The Rook
6578507,Unabridged,3.3,11 pages,Audio CD,35438,"What would happen if someone did the unthinkable-and didn't deliver a letter? Filled with stunning parallels to today, ",English,Sarah Blake,The Postmistress
85733,First,3.81,390 pages,Hardcover,28547,Tom Dunleavy has a one-man law firm in legendary East Hampton. But his job barely keeps him in paper clips. His principal clients make a living serving the rich. The billionaires and mega-celebrities swarming the beaches already have lawyers on their payroll.,English,James Patterson,Beach Road
106835,Revised Edition,4.27,640 pages,Paperback,33130,"Benjamin Graham (May 8, 1894 – September 21, 1976) was an American economist and professional investor. Graham is considered the first proponent of value investing, an investment approach he began teaching at Columbia Business School in 1928 and subsequently refined with David Dodd through various editions of their famous book Security Analysis. Disciples of value investing include Jean-Marie Evei",English,Benjamin Graham,The Intelligent Investor
22557520,2nd edition,3.74,582 pages,Paperback,39064,"But she’s barely moved into her freshman dorm when she runs into Hardin. With his tousled brown hair, cocky British accent, tattoos, and lip ring, Hardin is cute and different from what she’s used to. ",English,Anna Todd,After
3475268,1st Edition,4.35,504 pages,Hardcover,41572,Some wounds take time to heal...and some scars never fade.,English,Kim Harrison,"White Witch, Black Curse"
173673,Second Edition,4.17,1312 pages,Hardcover,22946,"Synopsis A Course in Miracles is a classic in modern spirituality. The landmark guide is in as much demand today as it was when it was first published in 1975. This updated text is split into three volumes which include the text, workbook for students and manual for teachers. Although the course is Christian in statement, it deals with universal spiritual themes, and is designed to help achieve dramatic, lasting results in every aspect of your life.",English,Foundation for Inner Peace,A Course in Miracles
3272165,1st edition,4.07,338 pages,Paperback,27354,". When Dr Ben Goldacre saw someone on daytime TV dipping her feet in an 'Aqua Detox' footbath, releasing her toxins into the water, turning it brown, he thought he'd try the same at home. 'Like some kind of Johnny Ball cum Witchfinder General', using his girlfriend's B",English,Ben Goldacre,"Bad Science: Quacks, Hacks, and Big Pharma Flacks"
17162,First Knopf Trade Paperback Edition,3.48,267 pages,Paperback,33952," Refusing to sell chocolates in the annual Trinity school fund-raiser may not seem like a radical thing to do. But when Jerry challenges a secret school society called The Vigils, his defiant act turns into an all-out war. Now the only question is: Who will survive? First publish",English,Robert Cormier,The Chocolate War
5941233,Omnibus,3.82,594 pages,Paperback,30924,The Last Vampire,English,Christopher Pike,Thirst No. 1
4961048,First Edition,3.71,163 pages,Hardcover,36605,", Carrie Fisher tells the true and intoxicating story of her life with inimitable wit. Born to celebrity parents, she was picked to play a princess in a little movie called Star Wars when only 19 years old. ""But it isn't all sweetness and light sabres."" Alas, aside from a demanding career and her role as a single mother (not to mention the hyperspace hai",English,Carrie Fisher,Wishful Drinking
6600137,1st Edition,3.94,273 pages,Hardcover,37567,"Zara and her friends thought they'd solved the pixie problem. And they did - sort of. The pixie's are all locked away, deep in the woods. But the king's needs grow stronger each day that he is in captivity, while his control over his people weakens. And it's enough to draw a new king into town. Astley claims he is different. He claims there are pixies who can live peacefully with humans, that it doesn't have to be all violence and nastiness all the time. Zara wants to believe him...until Astley also claims that she is fated to be his queen.",English,Carrie Jones,Captivate
27528,Large Print,3.95,530 pages,Hardcover,29784,"First they were Left Behind. Then they formed the Tribulation Force. Now they must face Nicolae. In the most explosive of the three books so far, the seven-year tribulation is nearing the end of its first quarter, when prophecy says that ""the wrath of the Lamb"" will be poured out upon the earth. Rayford Steele becomes the ears of the tribulation saints at the highest levels of the Carpathia regime. Meanwhile, Buck Williams attempts a dramatic all-night rescue run from Israel through the Sinai that will hold you breathless to the end.",English,Tim LaHaye,Nicolae: The Rise of Antichrist
13644055,First Edition,4.43,533 pages,Paperback,48473,"She can't believe Daemon welcomed his race or stood by as his kind threatened to obliterate every last human and hybrid on Earth. But the lines between good and bad have blurred, and love has become an emotion that could destroy her—could destroy them all.",English,Jennifer L. Armentrout,Opposition
13369678,1st edition,4.13,304 pages,Kindle Edition,44688,"Lana has lived her life in her cousin’s shadow. Ashton always made perfect grades, had tons of friends, and looks model-perfect. And she’s always had Sawyer Vincent—the only boy Lana’s ever wanted—wrapped around her finger. B","
                  ",Abbi Glines,The Vincent Brothers
415,Penguin Classics Deluxe Edition,4.03,776 pages,Paperback,28484,"Thomas Ruggles Pynchon, Jr. is an American writer based in New York City, noted for his dense and complex works of fiction. Hailing from Long Island, Pynchon spent two years in the United States Navy and earned an English degree from Cornell University. After publishing several short stories in the late 1950s and early 1960s, he began composing the novels for which he is best known today: ",English,Thomas Pynchon,Gravity's Rainbow
17461,60th Anniversary edition,4.04,176 pages,Paperback,36682,"On an island off the coasts of Virginia and Maryland lives a centuries-old band of wild ponies. Among them is the most mysterious of all, Phantom, a rarely seen mare that eludes all efforts to capture her--that is, until a young boy and girl lay eyes on her and determine that they can't live without her. The frenzied roundup that follows on the next ""Pony Penning Day"" does indeed bring Phantom into their lives, in a way they never would have suspected. Phantom would forever be a creature of the wild. But her gentle, loyal colt Misty is another story altogether.",English,Marguerite Henry,Misty of Chincoteague
17880708,1 edition,4.51,356 pages,Kindle Edition,40820,"Colton stole my heart. He wasn't supposed to, and I sure as hell didn't want him to, but he crashed into my life, ignited feelings within me that I thought had died forever, and fueled a passion that I never knew could exist.","
                  ",K. Bromberg,Fueled
91953,Penguin Classics,3.66,736 pages,Paperback,28967, remains among the greatest works in the history of ideas. Written during a moment in English history when the political and social structures as well as methods of science were in flux and open to int,English,Thomas Hobbes,"Leviathan or The Matter, Forme and Power of a Common Wealth Ecclesiasticall and Civil"
14498,Graphic Novel,4.21,224 pages,Paperback,30107,An ordinary Londoner stops to help an enigmatic girl and joins a battle to save the strange underworld kingdom of London Below from destruction.,English,Mike Carey,Neverwhere Graphic Novel
1434105,First Edition,3.72,166 pages,Hardcover,41824,"Stephanie Plum is back between-the-numbers and she’s looking to get lucky in an Atlantic City hotel room, in a Winnebago, and with a brown-eyed stud who has stolen her heart.",English,Janet Evanovich,Plum Lucky 
67,Later Printing edition,3.82,432 pages,Paperback,29636, is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones.,English,Edward P. Jones,The Known World
1162022,1st edition,4.14,290 pages,Paperback,40904,"And now Hannah, the person Taylor had come to rely on, has disappeared. Taylor's only clue is a manuscript about five kids who lived in Jellicoe eighteen years ago. She needs to find out more, but this means confronting her own story, making sense of her strange, recurring dream, and finding her mother—who abandoned her on the Jellicoe Road.",English,Melina Marchetta,On the Jellicoe Road
333538,A New Translation Based on the Restored Text,3.97,316 pages,Paperback,31965,"is the haunting tale of K.’s relentless, unavailing struggle with an inscrutable authority in order to gain access to the Castle. Scrupulously following the fluidity and breathlessness of the sparsely punctuated original manuscrip",English,Franz Kafka,Das Schloß
18138189,US edition,4.19,602 pages,Hardcover,29701,"Vaelin Al Sorna, warrior of the Sixth Order, called Darkblade, called Hope Killer. The greatest warrior of his day, and witness to the greatest defeat of his nation: King Janus’s vision of a Greater Unified Realm drowned in",English,Anthony  Ryan,Tower Lord
6780439,Omnibus,4.19,732 pages,Paperback,34966,As Kaitlyn learns to hone her abili,English,L.J. Smith,Dark Reunion
49540,Oxford World's Classics,4.07,448 pages,Paperback,34738," (1782) one of the most scandalous and controversial novels in European literature. The subject of major film and stage adaptations, the novel's prime movers, the Vicomte de Valmont and the Marquise de Merteuil, form an unholy alliance and turn seduction into a game - a game which they must",English,Pierre-Ambroise Choderlos de Laclos,Les Liaisons dangereuses
26245853,Large Print,4.22,644 pages,Hardcover,35790,Convicted murderer Melvin Mars is counting down the last hours before his execution--for the violent killing of his parents twenty years earlier--when he's granted an unexpected reprieve. Another man has confessed to the crime.,English,David Baldacci,The Last Mile
18003300,First Edition,4.04,176 pages,Paperback,31206,"Beautifully illustrated and thoughtfully conceived, Love and Misadventure will take you on a rollercoaster ride through an ill-fated love affair- from the initial butterflies to the soaring heights- through to the devastati",English,Lang Leav,Love & Misadventure
18711993,الطبعة الأولى,3.5,235 pages,Paperback,24781,لا أعرف كيف سلبتني بتلك السرعة يا جمان، لا أفهم كيف خلبتِ لبي من أول مرة وقعت فيها عيناي عليكِ.,"
                  ",أثير عبدالله النشمي,فلتغفرى
785092,First Edition,4.14,212 pages,Hardcover,27433,"Have you ever wondered why some people seem to get rich easily, while others are destined for a life of financial struggle? Is the difference found in their education, intelligence, skills, timing, work habits, contacts, luck, or their choice of jobs, businesses, or investment","
                  ",T. Harv Eker,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth
595375,Aerial fiction,3.97,234 pages,Paperback,31090, ,English,Nancy Garden,Annie on My Mind
8519822,First Edition,4.24,513 pages,Hardcover,32781,"Nicholas and Perenelle Flamel have one day left to live, and one job left to do. They must defend San Francisco. The monsters gathered on Alcatraz Island have been released and are heading toward the city. If they are not stopped, they will destroy everyone and everything in their path.",English,Michael Scott,The Enchantress
