author,bookformat,Language,bookEdition,NumberofRatings,numberofpages,GoodReadAverageRating,id,description,title
Sherrilyn Kenyon,Mass Market Paperback,English,1st Edition,35023,378 pages,4.34,84139,"An orphan with no clan that will claim him, Wren Tigarian grew to adulthood under the close scrutiny and mistrust of those around him. A forbidden blend of two animals - snow leopard and white tiger - Wren has never lis",Unleash the Night
Georgia Cates,ebook,                                  ,1st,34520,277 pages,4.13,17314410,"After Laurelyn Prescott walks away from the love of her life, she returns to Nashville to pursue the only dream she has left. Determined to find a distraction from the pain of losing Jack Henry, she immerses herself in her music. But with her old life comes old acquaintances and new expectations. When Laurelyn refuses her record producer’s outrageous demands, she finds herself without a career—until an unforeseen opportunity presents itself. From there it’s a rocket ride straight to the top where Laurelyn finds the success she’s always dreamed of. Will it be enough to bring her the happiness she so deserves, or will the absence of Jack Henry leave her wanting more?",Beauty from Surrender
Thomas Paine,Paperback,English,Great Ideas,22850,104 pages,3.97,161744,"Published anonymously in 1776, six months before the Declaration of Independence, Thomas Paine’s Com",Common Sense
Alexandre Dumas fils,Paperback,English,Oxford World's Classics,23228,256 pages,3.97,7186,"Alexandre Dumas (son) was born in Paris, France, the illegitimate child of Marie-Laure-Catherine Labay (1794-1868), a dressmaker, and novelist ",La Dame aux camélias
Sylvain Reynard,Paperback,English,First Edition,31686,477 pages,4.23,16247792,"But Julianne’s graduate program threatens Gabriel’s plans, as the pressures of being a student become all consuming. When she is given the honor of presen",Gabriel's redemption
L.M. Montgomery,Paperback,English,Special Collector's Edition,31592,277 pages,4.16,433533,"Anne's children were almost grown up, except for pretty, high-spirited Rilla. No one could resist her bright hazel eyes and dazzling smile. Rilla, almost fifteen, can't think any further ahead than going to her very first dance at the Four Winds lighthouse and getting her first kiss from handsome Kenneth Ford. But undreamed-of challenges await the irrepressible Rilla when the world of Ingleside becomes endangered by a far-off war. Her brothers go off to fight, and Rilla brings home an orphaned newborn in a soup tureen. She is swept into a drama that tests her courage and leaves her changed forever.",Rilla of Ingleside
John Irving,Hardcover,English,First Edition,21707,425 pages,3.66,12758317,).,In One Person
René Descartes,Paperback,English,Fourth Edition,21454,103 pages,3.68,31862,"René Descartes was a central figure in the scientific revolution of the seventeenth century. In his Discourse on Method he outlined the contrast between mathematics and experimental sciences, and the extent to which each one can achieve certainty. Drawing on his own work in geometry, optics, astronomy and physiology, Descartes developed the hypothetical method that characterizes modern science, and this soon came to replace the traditional techniques derived from Aristotle. Many of Descartes' most radical ideas - such as the disparity between our perceptions and the realities that cause them - have been highly influential in the development of modern philosophy.",Discours de la Méthode suivi de Méditations Métaphysiques
Nora Roberts,Hardcover,English,Book Club Edition,29053,338 pages,4.09,248682,"To librarian Dana Steele, books and the knowledge they hold are the key to contentment. But now that search for knowledge must include the second key needed to release three souls held cap",Key of Knowledge
Stephen King,Paperback,English,Penguin Reader: Level 5,25496,80 pages,4.26,11574,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",Different Seasons
