id,title,author,numberofpages,bookformat,NumberofRatings,GoodReadAverageRating,description,bookEdition,Language
7640705,The Ring of Solomon,Jonathan Stroud,32 pages,Audio CD,21932,4.19,"It is 950 B.C.E., and King Solomon rules Jerusalem with a steely hand; a hand on which gleams a magic ring of immense and unforgiving power. Solomon has just begun work on his marvelous temple, charging Khaba, a formidable magician in his royal court, to oversee its construction. The workforce is an ill-behaved bunch of demons, a particularly unruly djinni named Bartimaeus among them. True to form, Bartimaeus promptly gets kicked off the temple project and assigned the even more miserable task of hunting bandits in the desert. There he crosses paths with Asmira, a highly skilled and loyal captain of the Queen of Sheba’s guard, on a suicidal mission to save her country from Solomon’s imminent attack. Of course, Bartimaeus has no intention of helping her. That is, until Asmira makes him an offer he cannot refuse. . . .",Unabridged,English
10889279,Batman: The Black Mirror,Scott Snyder,288 pages,Hardcover,16681,4.29,"Then, in a second story called ""Hungry City,""",Deluxe Edition,English
133394,Our Man in Havana,Graham Greene,220 pages,Paperback,18633,3.94,Although Greene objected strongly to being described as a “Catholic novelist” rather than as a “novelist who happened to be Ca,Penguin Twentieth Century Classics,English
3342764,The Magician's Apprentice,Trudi Canavan,593 pages,Hardcover,19205,3.94,When,First Edition,English
13517455,Reboot,Amy Tintera,365 pages,Hardcover,26005,3.92,"Five years ago, Wren Connolly was shot three times in the chest. After 178 minutes she came back as a Reboot: stronger, faster, able to heal, and less emotional. The longer Reboots are dead, the less human they are when they return. Wren 178 is the deadliest Reboot in the Republic of Texas. Now seventeen years old, she serves as a soldier for HARC (Human Advancement and Repopulation Corporation).",1st Edition,English
9918083,Goliath,Scott Westerfeld,543 pages,Hardcover,25543,4.25,"While on their top-secret mission, Alek finally discovers Deryn's deeply kept secret. Two, actually. Not only is Deryn a girl disguised as a guy...she h",Simon Pulse,English
56634,Through Gates of Splendor,Elisabeth Elliot,304 pages,Paperback,17266,4.39,"In 1956, five young men, including Elliot's husband, Jim, traveled into the jungles of Ecuador to establish communication with the fierce Huaorani Tribe, a people whose only previous response to the outside world has been to attack all strangers. The men's mission combined modern technology with innate ingenuity, sparked by a passionate determination to get the gospel to those without Christ. In a nearby village, their wives waited to hear from them. The news they received - all five missionaries had been murdered - changed lives around the world forever. Written while she was still a missionary in South America and at the request of the men's families, Through Gates of Splendor was Elisabeth Elliot's personal account of the final mission of these five courageous men. Filled with quotations from letters, material from personal journals, a wealth of photographs, and an epilogue update, this reprint of the original hardcover edition tells a lasting story of God's grace, unconditional love, and great courage. This story inspired the 2006 box office hit End of the Spear and is sure to inspire the next generation of servant believers.",40th Anniversary Edition,English
5198,"
                  0452280397
                      ",Toni Morrison,318 pages,Paperback,19182,3.77,"""They shoot the white girl first. With the rest they can take their time."" So begins this visionary work from a storyteller. Toni Morrison's first novel since she was awarded the Nobel Prize for Literature, Paradise opens with a horrifying scene of mass violence and chronicles its genesis in an all-black small town in rural Oklahoma. Founded by the descendants of freed slaves and survivors in exodus from a hostile world, the patriarchal community of Ruby is built on righteousness, rigidly enforced moral law, and fear. But seventeen miles away, another group of exiles has gathered in a promised land of their own. And it is upon these women in flight from death and despair that nine male citizens of Ruby will lay their pain, their terror, and their murderous rage.",First Plume Printing (Oprah's Book Club),"
                  "
13331184,"Heads in Beds: A Reckless Memoir of Hotels, Hustles, and So-Called Hospitality",Jacob Tomsky,247 pages,Hardcover,17834,3.54," to go into the hotel business. As a new college graduate, armed only with a philosophy degree and a singular lack of career direction, he became a valet parker for a large luxu",First Edition,English
13521399,Confessions of a murder suspect,James Patterson,372 pages,Paperback,22882,3.89,"On the night Malcolm and Maud Angel are murdered, Tandy Angel knows just three things: She was the last person to see her parents alive. The police have no suspe",Large Print,English
22540125,After We Collided,Anna Todd,688 pages,Paperback,25277,3.73,Tessa has everything to lose. Hardin has nothing to lose…except her. ,2nd edition,English
351064,The Monkey's Paw,Diane Mowat,30 pages,Paperback,18247,3.85,"Without, the night was cold and wet, but in the small parlour of Laburnam Villa the blinds were drawn and the fire burned brightly. Father and son were at chess, the former, who possessed ideas about the game involving radical changes, putting his king into such sharp and unnecessary perils that it even provoked comment from the white-haired old lady knitting placidly by the fire. ""Hark at the wind,"" said Mr. White, who, having seen a fatal mistake after it was too late, was amiably desirous of preventing his son from seeing it. ""I'm listening,"" said the latter, grimly surveying the board as he stretched out his hand. ""Check."" ""I should hardly think that he'd come to-night,"" said his father, with his hand poised over the board.",Oxford Bookworms Stage 1,English
77395,Rainbow Valley,L.M. Montgomery,256 pages,Paperback,29545,4.01,"These boys and girls discover a special place all their own, but they never dream  of what will happen when the strangest family  moves into an old nearby mansion. The Meredith clan is  two boys and two girls, with minister father but  no mother -- and a runaway girl",Special Collector's Edition,English
10574,The Colorado Kid,Stephen King,184 pages,Mass Market Paperback,22757,3.28,"On an island off the coast of Maine, a man is found dead. There's no identification on the body. Only the dogged work of a pair of local newspapermen and a graduate student in forensics turns up any clues. ",First edition,English
18656055,Invisible,James Patterson,399 pages,Hardcover,19211,4.05,"Everyone thinks Emmy Dockery is crazy. Obsessed with finding the link between hundreds of unsolved cases, Emmy has taken leave from her job as an FBI researcher. Now all she has are the newspaper clippings that wallpaper her bedroom, and her recurring nightmares of an all-consuming fire.",First Edition,English
5135798,Being Nikki,Meg Cabot,336 pages,Hardcover,26657,3.86,Em was sure there couldn't be anything worse than being a brainiac in the body of a teenaged supermodel.,First edition,English
568476,Henry Huggins,Beverly Cleary,155 pages,Hardcover,22762,3.97,"Just as Henry Huggins is complaining that nothing exciting ever happens, a friendly dog sits down beside him and looks pleadingly at his ice-cream cone.",50th Anniversary Edition,English
321645,"
                  0671023462
                      ",Elizabeth Chandler,690 pages,Paperback,24128,4.08,": Ivy and Tristan have the love of a lifetime--until Tristan dies in a car accident. Now Tristan returns as an angel, but Ivy is unable to feel his presence. ",Collector's Edition,"
                  "
20803962,Until You,Penelope Douglas,406 pages,ebook,30298,4.36,Have you ever been so angry that hitting things felt good? Or so numb that you actually felt high? The past few years have been like that for me. Traveling between fury and indifference with no stops in between.,2nd Edition,"
                  "
19661,Family Matters,Rohinton Mistry,500 pages,Paperback,17892,3.99,"Rohinton Mistry’s enthralling novel is at once a domestic drama and an intently observed portrait of present-day Bombay in all its vitality and corruption. At the age of seventy-nine, Nariman Vakeel, already suffering from Parkinson’s disease, breaks an ankle and finds himself wholly dependent on his family. His step-children, Coomy and Jal, have a spacious apartment (in the inaptly named Chateau Felicity), but are too squeamish and resentful to tend to his physical needs.",Reprint Edition,English
112292,"Dauntless (The Lost Fleet, #1)",Jack Campbell,304 pages,Mass Market Paperback,21516,3.94,"Captain John ""Black Jack"" Geary's legendary exploits are known to every schoolchild. Revered for his heroic ""la",Ace,English
61539,The Structure of Scientific Revolutions,Thomas S. Kuhn,212 pages,Paperback,17599,3.99,"American historian and philosopher of science, a leading contributor to the change of focus in the philosophy and sociology of science in the 1960s. Thomas Samuel Kuhn was born in Cincinnati, Ohio. He received a doctorate in theoretical physics from Harvard University in 1949. But he later shifted his interest to the history and philosophy of science, which he taught at Harvard, the University of California at Berkeley, Princeton University, and Massachusetts Institute of Technology (MIT).",3rd,English
147843,Green Rider,Kristen Britain,471 pages,Mass Market Paperback,25856,4.09,"On her long journey home from school after a fight which will surely lead to her expulsion, Karigan G'ladheon ponders her future as she trudges through the immense forest called Green Cloak. But her thoughts are interrupted by the clattering of hooves as a galloping horse bursts from the woods, the rider slumped over his mount's neck, impaled by two black-shafted arrows. As the young man lies dying on the road, he tells Karigan that he is a Green Rider, one of the legendary messengers of the king, and that he bears a ""life and death"" message for King Zachary. He begs Karigan to carry his message, warning her not to read it, and when she reluctantly agrees, he makes her swear on his sword to complete his mission ""for love of country."" As he bestows upon her the golden winged-horse brooch which is the symbol of his office, he whispers on his dying breath, ""Beware the shadow man..."" ",DAW book collectors #1102 ,English
6559316,Bite Me,Christopher Moore,309 pages,Hardcover,22411,3.85,"The undead rise again in Bite Me, the third book in New York Times bestselling author Christopher Moore’s wonderfully twisted vampire saga. Joining his farcical gems Bloodsucking Fiends and You Suck, Moore’s latest in continuing story of young, urban, nosferatu style love, is no Twiligh",First Edition,English
2051840,"The Coffin Club (Vampire Kisses, #5)",Ellen Schreiber,177 pages,Hardcover,23434,4.06,"When Raven returns to Hipsterville's cryptic goth haunt, the Coffin Club, she discovers a secret door to another disco-""The Dungeon""-that is inhabited by vampires only. Raven learns that the nefarious Jagger Maxwell has welcomed the vampire clan into the club and has gained the popularity he missed in Romania. He is poised to take over Hipsterville, until a new vampire named Phoenix challenges him for control of the Coffin Club. Unbeknownst to Alexander, Raven becomes caught up in the clash, entranced by the hypnotic vampire culture of the Underworld.",First Edition,English
464260,The Fire Next Time,James     Baldwin,106 pages,Paperback,21851,4.45," galvanized the nation and gave passionate voice to the emerging civil rights movement. At once a powerful evocation of James Baldwin's early life in Harlem and a disturbing examination of the consequences of racial injustice, the book is an intensely personal and provocative document. It consists of t",First Vintage International edition,English
167010,"Fables, Volume 2: Animal Farm",Bill Willingham,112 pages,Paperback,24810,4.12,"Ever since they were driven from their homelands by the Adversary, the non-human Fables have been living on the Farm—a vast property in upstate New York that keeps them hidden from the prying eyes of the mundane world. But now, after hundreds of years of isolation, the Farm is seething with revolution, fanned by the inflammatory rhetoric of Goldilocks and the Three Little Pigs. And when Snow White and her sister Rose Red stumble upon their plan to liberate the Homelands, the commissars of the Farm are ready to silence them—by any means necessary!",Trade,English
4415692,The Soldiers of Halla,D.J. MacHale,594 pages,Hardcover,20089,4.27,"Every victory. Every loss. All the thrills and sadness; the hope and despair. Bobby Pendragon's heart-pounding journey through time and space has brought him to this epic moment. He and his fellow Travelers must join forces for one last desperate battle against Saint Dane. At stake is not only the tenth and final territory, but all that ever was or will be. Everywhere.",First Edition,English
206731,The Tibetan Book of Living and Dying,Sogyal Rinpoche,444 pages,Paperback,18625,4.22,"?A magnificent achievement. In its power to touch the heart, to awaken consciousness, [The Tibetan Book of Living and Dying] is an inestimable gift.??San Francisco ChronicleA newly revised and updated edition of the internationally bestselling spiritual classic, The Tibetan Book of Living and Dying, written by Sogyal Rinpoche, is the ultimate introduction to Tibetan Buddhist wisdom. An enlightening, inspiring, and comforting manual for life and death that the New York Times calls, ?The Tibetan equivalent of [Dante?s] The Divine Comedy,? this is the essential work that moved Huston Smith, author of The World?s Religions, to proclaim, ?I have encountered no book on the interplay of life and death that is more comprehensive, practical, and wise.?",Revised and Updated Edition,English
301022,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",E. Lockhart,229 pages,Paperback,24140,3.49,"Ruby Oliver is 15 and has a shrink. She knows it’s unusual, but give her a break—she’s had a rough 10 days. In the past 10 days she:",Readers Circle,English
31072,Under the Volcano,Malcolm Lowry,397 pages,Paperback,18117,3.8,"Geoffrey Firmin, a former British consul, has come to Quauhnahuac, Mexico. Here the consul's debilitating malaise is drinking, and activity that has overshadowed his life. Under the Volcano is set during the most fateful day of the consul's life--the Day of the Dead, 1938. His wife, Yvonne, arrives in Quauhnahuac to rescue him and their failing marriage, inspired by a vision of life together away from Mexico and the circumstances that have driven their relationship to the brink of collapse. Yvonne's mission is to save the consul is further complicated by the presence of Hugh, the consul's half-brother, and Jacques, a childhood friend. The events of this one day unfold against a backdrop unforgettable for its evocation of a Mexico at once magical and diabolical.",Perennial Classic,English
5422154,The Neighbor,Lisa Gardner,384 pages,Hardcover,23712,4.08,"It was a case guaranteed to spark a media feeding frenzy—a young mother, blond and pretty, disappears without a trace from her South Boston home, leavi",First Edition,English
612188,"Erinnerungen, Träume, Gedanken von C.G. Jung",C.G. Jung,430 pages,Paperback,17776,4.19,"In the spring of 1957, when he was eighty-one years old, C. G. Jung undertook the telling of his life story. At regular intervals he had conversations with his colleague and friend Aniela Jaffé, and collaborated with her in the preparation of the text based on these talks. On occasion, he was moved to write entire chapters of the book in his own hand, and he continued to work on the final stages of the manuscript until shortly before his death on June 6, 1961.",Vintage Books Edition,English
8318666,The Land of the Painted Caves,Jean M. Auel,757 pages,Hardcover,22960,3.24,", Jean M. Auel brings the ice-age epic Earth's Children series to an extraordinary conclusion. Ayla, one of the most remarkable and beloved heroines in contemporary fiction, continues to explore the world and the people around her with curiosity, insight, and above all, courage.",First Edition,English
11437,Where I’m Calling From: The Selected Stories,Raymond Carver,544 pages,Paperback,17658,4.42,"'Where I'm Calling From', his last collection, encompasses classic stories from 'Cathedral', 'What We Talk About When We T",First Vintage Contemporaries Edition,English
6087756,White Cat,Holly Black,310 pages,Hardcover,33197,3.81,"Cassel comes from a family of curse workers: people who have the power to change your emotions, your memories, your luck, by the slightest touch of their hands. And since curse work is illegal, they're all criminals. Many become mobsters and con artists. But not Cassel. He hasn't got magic, so he's an outsider; the straight kid in a crooked family. You just have to ignore one small detail - he killed his best friend, Lila, three years ago.",First Edition,English
136638,Dance of Death,Douglas Preston,560 pages,Mass Market Paperback,22168,4.16,"Two brothers on opposite sides of the law battle it out on the streets of New York in this chill-inducing thriller, a follow-up to BRIMSTONE. — As the previous installment came to a close, vicious dogs and armed men surrounded FBI Special Agent Aloysius Pendergast and his demise seemed certain. Nevertheless, he did leave behind a legacy: a letter for his friend, NYPD Lieutenant Vincent D'Agosta. Its contents ask D'Agosta to assume the responsibility of pursuing Pendergast's younger brother Diogenes, an insane and vengeful genius who has sworn to commit the perfect crime on January 28 -- which is now only one week away.",First Paperback Edition,English
395851,The Struggle,L.J. Smith,313 pages,Mass Market Paperback,29247,3.5,I have a new blog about my Vampire Diaries fanfic.,Reissue,English
102461,Hellboy: The Chained Coffin and Others,Mike Mignola,176 pages,Paperback,16789,4.21,"Mike Mignola was born September 16, 1960 in Berkeley, California and grew up in nearby Oakland. His fascination with ghosts and monsters began at an early age (he doesn't remember why) and reading ",Second Edition,English
568592,ふしぎ遊戯 1,Yuu Watase,197 pages,Paperback,19037,4.08,"A Japanse shoujo manga-ka. She is known for her works Fushigi Yūgi, Alice 19th, Ceres: The Celestial Legend, Fushigi Yūgi Genbu Kaiden and Absolute Boyfriend. She likes all music, except heavy metal and old traditional music. ",Left-to-right edition,English
18142329,"Politi (Harry Hole, #10)",Jo Nesbø,436 pages,Hardcover,21889,4.22," But this time, Harry can't help . . . For years, detective Harry Hole has been at the center of every major criminal investigation in Oslo.",Deckle edge,English
216304,A Woman After God's Own Heart,Elizabeth George,303 pages,Paperback,16625,4.29," (over 735,000 copies sold). This very popular selection for personal and group study is filled with rich advice, spiritual wisdom, and practical applications. ",Updated,English
43915,"Magician: Apprentice (The Riftwar Saga, #1) ",Raymond E. Feist,168 pages,Hardcover,17935,4.44,"To the forest on the shore of the Kingdom of the Isles, the orphan Pug came to study with the master magician Kulgan. But though his courage won him a place at court and the heart of a lovely Princess, he was ill at ease with the normal ways of wizardry. Yet Pug's strange sort of magic would one day change forever the fates of two worlds. For dark beings from another world had opened a rift in the fabric of spacetime to being again the age-old battle between the forces of Order and Chaos.",Graphic novel,English
84133,Devil May Cry,Sherrilyn Kenyon,320 pages,Hardcover,32679,4.32,"New York Times and international bestselling author Sherrilyn Kenyon is a regular at the #1 spot. With legions of fans known as Menyons (thousands of whom proudly sport tattoos from her series and who travel from all over the world to attend her appearances), her books are always snatched up as soon as they appear on store shelves. Since 2004, she had placed more than 80 novels on the New York Times list in all formats including manga and graphic novels. Her current series are: Dark-Hunter, Chronicles of Nick and The League, and her books are available in over 100 countries where eager fans impatiently wait for the next release. Her Chronicles of Nick and Dark-Hunter series are soon to be major motion pictures while Dark-Hunter is also being developed as a television series. Join her and her Menyons online at SherrilynKenyon.com and ",1st Edition,English
