GoodReadAverageRating,numberofpages,author,bookformat,NumberofRatings,Language,description,id,bookEdition,title
3.42,213 pages,Unknown,Paperback,185800,English,"The national bestseller and winner of the Whitbread Award. Composed toward the end of the first millennium, Beowulf is the classic Northern epic of a hero’s triumphs as a young warrior and his fated death as a defender of his people. The poem is about encountering the monstrous, defeating it, and then having to live on, physically and psychically exposed in the exhausted aftermath. It is not hard to draw parallels in this story to the historical curve of consciousness in the twentieth century, but the poem also transcends such considerations, telling us psychological and spiritual truths that are permanent and liberating.",52357,Bilingual Edition,Beowulf
3.76,352 pages,Sophie Kinsella,Hardcover,183900,English,Somehow Lexi went from a twent,1358844,First Edition,Remember Me?
4.11,1392 pages,Leo Tolstoy,Paperback,195036,English,"Tolstoy's epic masterpiece intertwines the lives of private and public individuals during the time of the Napoleonic wars and the French invasion of Russia. The fortunes of the Rostovs and the Bolkonskys, of Pierre, Natasha, and Andrei, are intimately connected with the national history that is played out in parallel with their lives. Balls and soirees alternate with councils of war and the machinations of statesmen and generals, scenes of violent battles with everyday human passions in a work whose extraordinary imaginative power has never been surpassed. ",656,Oxford World's Classics,Война и миръ
4.07,559 pages,Donna Tartt,Paperback,192122,English,"Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",29044,First Vintage Contemporary Edition - Hard Paperback,The Secret History
3.95,338 pages,P.C. Cast,Paperback,198829,English,"Life sucks when your friends are pissed at you. Just ask Zoey Redbird – she's become an expert on suckiness. In one week she has gone from having three boyfriends to having none, and from having a close group of friends who trusted and supported her, to being an outcast. Speaking of friends, the only two Zoey has left are undead and unMarked. And Neferet has declared war on humans, which Zoey knows in her heart is wrong. But will anyone listen to her? Zoey's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested, shocking true intentions come to light, and an ancient evil is awakened in PC and Kristin Cast's spellbinding fourth House of Night novel. (",2866718,First Edition,Untamed: A House of Night Novel
4.42,592 pages,Stephen King,Paperback,192585,English,"At Cold Mountain Penitentiary, along the lonely stretch of cells known as the Green Mile, killers are depraved as the psychopathic ""Billy the Kid"" Wharton and the possessed Eduard Delacroix await death strapped in ""Old Sparky."" Here guards as decent as Paul Edgecombe and as sadistic as Percy Wetmore watch over them. But good or evil, innocent or guilty, none have ever seen the brutal likes of the new prisoner, John Coffey, sentenced to death for raping and murdering two young girls. Is Coffey a devil in human form? Or is he a far, far different kind of being?",11566,Six Volume Box Set ,The Green Mile
4.04,382 pages,Orson Scott Card,Mass Market Paperback,183915,English,"Now long years later, a second alien race has been discovered, but again the aliens’ ways are strange and frightening…again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenoc",7967,Revised Mass Market Edition,Speaker for the Dead
3.89,374 pages,Richard Dawkins,Hardcover,178411,English,"With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament to the more benign (but still illogical) Celestial Watchmaker favored by",14743,First American Edition,The God Delusion
3.84,560 pages,Jane Austen,Paperback,226356,English,"Taken from the poverty of her parents' home, Fanny Price is brought up with her rich cousins at Mansfield Park, acutely aware of her humble rank and with only her cousin Edmund as an ally. When Fanny's uncle is absent in Antigua, Mary Crawford and her brother Henry arrive in the neighbourhood, bringing with them London glamour and a reckless taste for flirtation. As her female cousins vie for Henry's attention, and even Edmund falls for Mary's dazzling charms, only Fanny remains doubtful about the Crawfords' influence and finds herself more isolated than ever. A subtle examination of social position and moral integrity, ",45032,Penguin Classics,Mansfield Park
3.97,418 pages,Pearl S. Buck,Paperback,194142,English,Hard times come upon Wang Lung and his family w,1078,(Enriched Classics),The Good Earth
4.48,133 pages,Chuck Dixon,Paperback,159416,English,'The Hobbit' is the story of Bilbo Baggins…a quiet and contented hobbit whose life is turned upside down when he joins the wizard Gandalf and thirteen dwarves on their quest to,659469,Graphic Novel,The Hobbit
4.03,748 pages,Christopher Paolini,Hardcover,228709,English,"It's been only months since Eragon first uttered ""brisingr"", an ancient language term for fire. Since then, he's not only learned to create magic with words — he's been challenged to his very core. Following the colossal battle against the Empires warriors on the Burning Plains, Eragon and his dragon, Saphira, have narrowly",2248573,First Edition,Brisingr
4.02,322 pages,Jim Butcher,Mass Market Paperback,221280,English," at what he does. So when the Chicago P.D. has a case that transcends mortal creativity or capability, they come to him for answers. For th",47212,First Edition,Storm Front
3.93,310 pages,P.C. Cast,Paperback,213841,English,"Zoey, High Priestess in training, has managed to settle in at the House of Night and come to terms with the vast powers the Vampyre Goddess Nyx has given her. Just as she finally feels she belongs, the unthinkable happens: human teenagers are being killed, and all evidence points to the House of Night. While d",676924,First Edition,Betrayed: a House of Night Novel
4.12,212 pages,Stephen Hawking,Paperback,184631,English,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",3869,Updated & Expanded 10th Anniversary,A Brief History of Time: From the Big Bang to Black Holes
4.07,427 pages,Becca Fitzpatrick,Hardcover,235223,English,"Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.",7791997,First Edition,Crescendo
3.92,470 pages,Lauren Oliver,Paperback,235831,English, bestselling author Lauren Oliver emerged as one of today's foremost authors of young adult fiction. Like Jay Asher's ,6482837,Enhanced Edition,Before I Fall
3.92,340 pages,Arundhati Roy,Hardcover,183865,English,"The year is 1969. In the state of Kerala, on the southernmost tip of India, fraternal twins Esthappen and Rahel fashion a childhood for themselves in the shade of the wreck that is their family. Their lonely, lovely mother, Ammu, (who loves by night the man her children love by day), fled an abusive marriage to live with their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), and their enemy, Baby Kochamma (ex-nun and incumbent grandaunt). When Chacko's English ex-wife brings their daughter for a Christmas visit, the twins learn that things can change in a day, that lives can twist into new, ugly shapes, even cease forever, beside their river...",9777,1st American,The God of Small Things
4.13,467 pages,Haruki Murakami,Paperback,198043,English," is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom.",4929,US / Canada,海辺のカフカ [Umibe no Kafuka]
4.37,489 pages,Richelle Mead,Hardcover,235901,English,"Scorpio Richelle Mead is a New York Times and USA Today bestselling author of urban fantasy books for both adults and teens. Originally from Michigan, Richelle now lives in Seattle, Washington where she works on her three series full-time: Georgina Kincaid, Dark Swan, and Vampire Academy.",6479259,1st Edition,Spirit Bound
3.59,301 pages,Alyson Noel,Paperback,236684,English,"After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school — but everything changes when she meets Damen Auguste.",3975774,1st Edition,Evermore
3.84,291 pages,Betty Edwards,Paperback,224451,English," was first published in 1979, it hit the ",627206,Third Edition,Drawing on the Right Side of the Brain
3.96,471 pages,Ernest Hemingway,Paperback,207535,English,"Ernest Miller Hemingway was an American author and journalist. His economical and understated style had a strong influence on 20th-century fiction, while his life of adventure and his public image influenced later generations. Hemingway produced most of his work between the mid-1920s and the mid-1950s, and won the Nobel Prize in Literature in 1954. He published seven novels, six short story collections and two non-fiction works. Three novels, four collections of short stories and three non-fiction works were published posthumously. Many of these are considered classics of American literature.",46170,UK / CAN,For Whom the Bell Tolls
4.04,337 pages,Susan Cain,Hardcover,224129,English,"At least one-third of the people we know are introverts. They are the ones who prefer listening to speaking, reading to partying; who innovate and create but dislike self-promotion; who favor working on their own over brainstorming in teams. Although they are often labeled ""quiet,"" it is to introverts that we owe many of the great contributions to society--from van Gogh’s sunflowers to the invention of the personal computer.",8520610,First Edition (U.S.),Quiet: The Power of Introverts in a World that Can't Stop Talking
3.62,432 pages,James Frey,Paperback,190633,English,"At the age of 23, James Frey woke up on a plane to find his front teeth knocked out and his nose broken. He had no idea where the plane was headed nor any recollection of the past two weeks. An alcoholic for ten years and a crack addict for three, he checked into a treatment facility shortly after landing. There he was told he could either stop using or die before he reached age 24. This is Frey's acclaimed account of his six weeks in rehab.",1241,Oprah's Book Club,A Million Little Pieces
4.19,544 pages,Bill Bryson,Paperback,208323,English,"In Bryson's biggest book, he confronts his greatest challenge: to understand—and, if possible, answer—the oldest, biggest questions we have posed about the universe and ourselves. Taking as territory everything from the Big Bang to the rise of civilization, Bryson seeks to understand how we got from there being nothing at all to there being us. To that end, he has attached himself to a host of the world’s most advanced (and often obsessed) archaeologists, anthropologists, and mathematicians, travelling to their offices, laboratories, and field camps. He has read (or tried to read) their books, pestered them with questions, apprenticed himself to their powerful minds. ",21,First Trade Paperback Edition,A Short History of Nearly Everything
4.1,326 pages,Philip Pullman,Hardcover,272568,English,"Each is searching—Lyra for the meaning of Dark Matter, Will for his missing father—but what they find instead is a deadly secret, a knife of untold power. And neither",119324,First American Edition,The Subtle Knife
3.85,608 pages,Charles Dickens,Paperback,255322,English,"The story of the orphan Oliver, who runs away from the workhouse only to be taken in by a den of thieves, shocked readers when it was first published. Dickens's tale of childhood innocence beset by evil depicts the dark criminal underworld of a London peopled by vivid and memorable characters — the arch-villain Fagin, the artful Dodger, the menacing Bill Sikes and the prostitute Nancy. Combining elements of Gothic Romance, the Newgate Novel and popular melodrama, in ",18254,Penguin Classics,Oliver Twist
4.46,502 pages,Cassandra Clare,Hardcover,332364,English,"In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends.",10025305,Collector's First Edition,Clockwork Prince
4.08,204 pages,Hunter S. Thompson,Paperback,243742,English,"Hunter Stockton Thompson was an American journalist and author, famous for his book ",7745,Second Vintage Books Edition,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
3.98,154 pages,L. Frank Baum,Paperback,281436,English,"Dorothy thinks she's lost forever when a tornado whirls her and her dog, Toto, into a magical world. To get home, she must find the wonderful wizard in the Emerald City of Oz. On the way she meets the Scarecrow, the Tin Woodman and the Cowardly Lion. But the Wicked Witch of the West has her own plans for the new arrival - will Dorothy ever see",236093,Penguin Popular Classics,The Wonderful Wizard of Oz
3.99,483 pages,Stephen King,Paperback,247917,English,"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",11590,17th Impression,Salem's Lot
3.83,683 pages,Homer,Paperback,276123,English,"In the Western classical tradition, Homer (Greek: ",1371,Deluxe Edition,Ἰλιάς
4.27,32 pages,Margaret Wise Brown,Hardcover,253433,"
                  ","In this classic of children's literature,",32929,60th Anniversary Edition,"
                  0060775858
                      "
3.28,503 pages,J.K. Rowling,Hardcover,255920,English,"Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty façade is a town at war.",13497818,First Edition (US),The Casual Vacancy
3.99,146 pages,Roald Dahl,Hardcover,292148,English,"When James accidentally drops some magic crystals by the old peach tree, strange things start to happen. The peach at the top of the tree begins to grow, and before long it's as big as a house. When James discovers a secret entranceway into the fruit and crawls inside, he meets wonderful new friends--the Old-Green-Grasshopper, the dainty Ladybug, and the Centipede of the multiple boots. After years of feeling like an outsider in his aunts' house, James finally found a place where he belongs. With a snip of the stem, the peach household starts rolling away--and the adventure begins!",6689,Borzoi Book Edition,James and the Giant Peach
3.94,440 pages,Pittacus Lore,Hardcover,271987,English,"Our plan was to grow, and train, and become strong, and become one",7747374,1st Edition,I Am Number Four
4.33,338 pages,Sylvia Day,Paperback,268502,English,.,13596809,First Edition,Reflected in You
4.25,206 pages,Randy Pausch,Hardcover,249841,English, -- Randy,2318271,First edition,The Last Lecture
4.16,424 pages,Cassandra Clare,Hardcover,376216,English,"The Mortal War is over, and sixteen-year-old Clary Fray is back home in New York, excited about all the possibilities before her. She’s training to become a Shadowhunter and to use her unique power. Her mother is getting married to the love of her life. Downworlders and Shadowhunters are at peace at last. And—most importantly of all—she can finally call Jace her boyfriend.",6752378,1st Edition,City of Fallen Angels
4.57,994 pages,Patrick Rothfuss,Hardcover,286039,English,”,1215032,First Edition,The Wise Man's Fear
3.62,199 pages,Rhonda Byrne,Hardcover,253270,English,"Rhonda Byrne is an Australian television writer and producer, best known for her New Thought works, The Secret—a book and a film by the same name. By the Spring of 2007 the book had sold almost 4 million copies, and the DVD had sold more than 2 million copies. She has also been a producer for Sensing Murder. According to an article published by Australia's Herald Sun, Byrne has also worked on the",52529,10th Anniversary Edition ,The Secret
3.75,343 pages,John Tiffany,Hardcover,407859,English,"It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children.",29056083,"Special Rehearsal Edition Script, UK","Harry Potter and the Cursed Child, Parts One and Two"
4.34,176 pages,Shel Silverstein,Hardcover,306978,English, includes a CD of highlights from his,30118,20th Anniversary Edition with CD,A Light in the Attic
3.85,720 pages,Ayn Rand,Mass Market Paperback,256309,English,"When The Fountainhead was first published, Ayn Rand''s daringly original literary vision and her groundbreaking philosophy, Objectivism, won immediate worldwide interest and acclaim. This instant classic is the story of an intransigent young architect, his violent battle against conventional standards, and his explosive love affair with a beautiful woman who struggles to defeat him. This edition contains a special afterword by Rand's literary executor, Leonard Peikoff, which includes excerpts from Ayn Rand's own notes on the making of The Fountainhead. As fresh today as it was then, here is a novel about a hero-and about those who try to destroy him.",2122,25 Aniv Edition ,The Fountainhead
4.36,448 pages,Mario Puzo,Paperback,271739,English,"Almost fifty years ago, a classic was born. A searing portrayal of the Mafia underworld, The Godfather introduced readers to the first family of American crime fiction, the Corleones, and their powerful legacy of tradition, blood, and honor. The seduction of power, the pitfalls of greed, and",22034,US,The Godfather
4.54,440 pages,Kristin Hannah,Hardcover,335652,English,"Despite their differences, sisters Vianne and Isabelle have always been close. Younger, bolder Isabelle lives in Paris while Vianne is content with life in the French countryside with her husband Antoine and their daughter. But when the Second World War strikes, Antoine is sent off to fight and Vianne finds herself isolated so Isabelle is sent by their father to help her. ",21853621,1st Edition,The Nightingale
4.24,496 pages,Betty  Smith,Paperback,310632,English," is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of",14891,Deckle Page Edition,A Tree Grows In Brooklyn 
3.93,362 pages,James Dashner,Hardcover,349471,English, Thomas was sure that escape from the Maze would mean freedom for him and the Gladers. But WICKED isn’t done yet. Phase Two has just begun. The Scorch. ,7631105,1st Edition,The Scorch Trials
3.64,349 pages,Greg Mortenson,Paperback,289784,English,"Anyone who despairs of the individual’s power to change lives has to read the story of Greg Mortenson, a homeless mountaineer who, following a 1993 climb of Pakistan’s treacherous K2, was inspired by a chance encounter with impoverished mountain villagers and promised to build them a school. Over the next decade he built fifty-five schools—especially for girls—that offer a balanced education in one of the most isolated and dangerous regions on earth. As it chronicles Mortenson’s quest, which has brought him into conflict with both enraged Islamists and uncomprehending Americans, ",49436,Non-Classics,Three Cups of Tea 
3.97,232 pages,Gail Carson Levine,Paperback,347442,English,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel o",24337,First Scholastic Edition,Ella Enchanted
4.43,316 pages,R.J. Palacio,Hardcover,390358,English,"August (Auggie) Pullman was born with a facial deformity that prevented him from going to a mainstream school—until now. He's about to start 5th grade at Beecher Prep, and if you've ever been the new kid then you know how hard that can be. The thing is Auggie's just an ordinary kid, with an extraordinary face. But can he convince his new classmates that he's just like them, despite appearances?",11387515,Books for Young Readers,Wonder
4.15,390 pages,Marissa Meyer,Hardcover,462326,English,"Sixteen-year-old Cinder is considered a technological mistake by most of society and a burden by her stepmother. Being cyborg does have its benefits, though: Cinder's brain interference has given her an uncanny ability to fix things (robots, hovers, her own malfunctioning parts), making her the best mechanic in New Beijing. This reputation brings Prince Kai himself to her weekly market booth, needing her to repair a broken android before the annual ball. He jokingly calls it ""a matter of national security,"" but Cinder suspects it's more serious than he's letting on.",11235712,First Edition,Cinder
4.05,372 pages,Stephen R. Covey,Paperback,340226,English," author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity -- principles that give us the security to adapt",36072,Anniversary Edition,The 7 Habits of Highly Effective People
3.94,298 pages,William Shakespeare,Paperback,364196,English,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pursued by an enraged Demetrius (who is himself pursued by an enraptured Helena). In the forest, unbeknownst to the mortals, Oberon and Titania (King and Queen of the faeries) are having a spat over a servant boy. The plot twists up when Oberon's head mischief-maker, Puck, runs loose with a flower which causes people to fall in love with the first thing they see upon waking. Throw in a group of labourers preparing a play for the Duke's wedding (one of whom is given a donkey's head and Titania for a lover by Puck) and the complications become fantastically funny.",1622,Folger Shakespeare Library,A Midsummer Night's Dream
3.79,306 pages,P.C. Cast,Paperback,372860,English,"After a Vampire Tracker Marks her with a crescent moon on her forehead, 16-year-old Zoey Redbird enters the House of Night and learns that she is no average fledgling. She has been Marked as special by the vampyre Goddess Nyx and has affinities for all five elements: Air, Fire Water, Earth and Spirit. But she",30183,1st edition,Marked
3.8,461 pages,Dan Brown,Hardcover,349235,English,", ",17212231,First Edition,Inferno
3.89,348 pages,Gabriel García Márquez,Paperback,325361,English,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.",9712,First Vintage International Edition,El amor en los tiempos del cólera
4.13,249 pages,Jane Austen,Paperback,405768,English,"Twenty-seven-year old Anne Elliot is Austen's most adult heroine. Eight years before the story proper begins, she is happily betrothed to a naval officer, Frederick Wentworth, but she precipitously breaks off the engagement when persuaded by her friend Lady Russell that such a match is unworthy. The breakup produces in Anne a deep and long-lasting regret. When later Wentworth returns from sea a rich and successful captain, he finds Anne's family on the brink of financial ruin and his own sister a tenant in Kellynch Hall, the Elliot estate. All the tension of the novel revolves around one question: Will Anne and Wentworth be reunited in their love?",2156,Oxford World's Classics,Persuasion
3.74,452 pages,Lauren Kate,Hardcover,410986,English,"17-year-old Lucinda falls in love with a gorgeous, intelligent boy, Daniel, at her new school, the grim, foreboding Sword & Cross . . . only to find out that Daniel is a fallen angel, and that they have spent lifetimes finding and losing one another as good & evil forces plot to keep them apart. ",6487308,1st Edition,Fallen
4.35,601 pages,John Steinbeck,Paperback,338968,English,"Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel. Here Steinbeck created some of his most memorable characters and explored his most enduring themes: the mystery of identity; the inexplicability of love; and the murderous consequences of love’s absence.",4406,Centennial Edition,East of Eden  
4.24,767 pages,C.S. Lewis,Paperback,403874,English,", written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as ",11127,Reissue Edition,The Chronicles of Narnia
4.19,338 pages,Sylvia Day,Paperback,388289,English,Gideon ,13572249,First Edition,Bared to You
3.98,447 pages,Erik Larson,Audio Cassette,353490,English,"Two men, each handsome and unusually adept at his chosen work, embodied an element of the great dynamic that characterized America's rush toward the twentieth century. The architect was Daniel Hudson Burnham,",21996,Abridged,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
4.03,320 pages,Janet Evanovich,Paperback,405609,English,"Janet Evanovich is the #1 New York Times bestselling author of the Stephanie Plum series, the Lizzy and Diesel series, twelve romance novels, the Alexandra Barnaby novels and Trouble Maker graphic novel, and How I Write: Secrets of a Bestselling Author, as well as the Fox and O'Hare series with co-author Lee Goldberg.",6853,First St. Martin's Griffin Edition,One for the Money
4.0,391 pages,Becca Fitzpatrick,Hardcover,465268,English,But after a series of t,6339664,First Edition,"Hush, Hush"
3.66,509 pages,Dan Brown,Hardcover,408020,English,", Dan Brown demonstrates once again why he is the world's most popular thriller writer. ",6411961,First Edition,The Lost Symbol
4.47,1216 pages,J.R.R. Tolkien,Paperback,439911,English, and ,33,50th Anniversary One-volume Edition,The Lord of the Rings
4.03,400 pages,Erin Morgenstern,Hardcover,479860,English,"The circus arrives without warning. No announcements precede it. It is simply there,",9361589,First Edition,The Night Circus
4.04,661 pages,Philippa Gregory,Paperback,400743,English,"When Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.",37470,First Touchstone Edition 2003,The Other Boleyn Girl
4.18,671 pages,Fyodor Dostoyevsky,Paperback,448923,English, put Dostoevsky at the forefront of Russian writers when it appeared in 1866 and is now one of the most famous and influential novels in world literature.,7144,Penguin Classics,Преступление и наказание
4.33,481 pages,Cassandra Clare,Hardcover,520434,English, bestselling Mortal Instruments series.,7171637,First Edition,Clockwork Angel
3.99,474 pages,Jane Austen,Paperback,502258,English,"Beautiful, clever, rich - and single - Emma Woodhouse is perfectly content with her life and sees no need for either love or marriage. Nothing, however, delights her more than interfering in the romantic lives of others. But when she ignores the warnings of her good friend Mr. Knightley and attempts to arrange a suitable match for her protegee Harriet Smith, her carefully laid plans soon unravel and have consequences that she never expected. With its imperfect but charming heroine and its witty and subtle exploration of relationships, Emma is often seen as Jane Austen's most flawless work.",6969,Penguin Classics,Emma
4.05,343 pages,Truman Capote,Paperback,404871,English,"As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the kille",168642,First Vintage International edition,In Cold Blood
4.02,964 pages,Leo Tolstoy,Paperback,477020,English,"In their world frivolous liaisons are commonplace, but Anna and Vronsky’s consuming passion makes them a target for sco",15823480,Movie Tie-In,Анна Каренина
4.11,635 pages,Neil Gaiman,Paperback,527789,English,"Together they embark on a profoundly strange journey across the heart of the USA, whilst all around them a s",4407,the author's preferred text,American Gods
4.35,557 pages,Rick Riordan,Paperback,493333,English,"He doesn’t remember anything before waking up in a bus full of kids on a field trip. Apparently he has a girlfriend named Piper, and a best friend named Leo. They’re all students at a boarding school for “bad kids.” What did Jason do to end up here? And where is here, exactly?",7736182,First Edition,The Lost Hero
3.75,505 pages,Charles Dickens,Paperback,510968,English,"In what may be Dickens's best novel, humble, orphaned Pip is apprenticed to the dirty work of the forge but dares to dream of becoming a gentleman — and one day, under sudden and enigmatic circumstances, he finds himself in possession of ""great expectations."" In this gripping tale of crime and guilt, revenge and reward, the compelling characters include Magwitch, the fearful and fearsome convict; Estella, whose beauty is excelled only by her haughtiness; and the embittered Miss Havisham, an eccentric jilted bride.",2623,Oxford World's Classics,Great Expectations
4.21,453 pages,Cassandra Clare,Hardcover,590139,English,"Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean",1582996,1st Edition,City of Ashes
4.34,1153 pages,Stephen King,Hardcover,474063,English,And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides or are,149267,Complete & Uncut Edition,The Stand
3.85,233 pages,Tracy Chevalier,Paperback,497161,English,"With precisely 35 canvases to his credit, the Dutch painter Johannes Vermeer represents one of the great enigmas of 17th-century art. The meager facts of his biography have been gleaned from a handful of legal documents. Yet Vermeer's extraordinary paintings of domestic life, with their subtle play of light and texture, have come to define the Dutch golden age. His portrait of the anonymous Girl with a Pearl Earring has exerted a particular fascination for centuries - and it is this magnetic painting that lies at the heart of Tracy Chevalier's second novel of the same title.",2865, Deluxe Edition,Girl with a Pearl Earring
3.87,771 pages,Donna Tartt,Hardcover,469782,English,"It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art.",17333223,First American Edition,The Goldfinch
4.2,563 pages,Stieg Larsson,Hardcover,530383,English,"Lisbeth Salander - the heart of Larsson's two previous novels - lies in critical condition, a bullet wound to her head, in the intensive care unit of a Swedish city hospital. She's fighting for her life in more ways than one: if and when she recovers, she'll be taken back to Stockhol",6892870,Borzoi (US),Luftslottet som sprängdes
3.89,352 pages,Ransom Riggs,Hardcover,684411,English,"A horrific family tragedy sets sixteen-year-old Jacob journeying to a remote island off the coast of Wales, where he discovers the crumbling ruins of Miss Peregrine’s Home for Peculiar Children. As Jacob explores its abandoned bedrooms and hallways, it becomes clear that the children w",9460487,First Edition,Miss Peregrine’s Home for Peculiar Children
3.37,238 pages,Nathaniel Hawthorne,Paperback,561112,English,"Set in the harsh Puritan community of seventeenth-century Boston, this tale of an adulterous entanglement that results in an illegitimate birth reveals Nathaniel Hawthorne's concerns with the tension between the public and the private selves. Publicly disgraced and ostracized, Hester Prynne draws on her inner strength and certainty of spirit to emerge as the first true heroine of American fiction. Arthur Dimmesdale, trapped by the rules of society, stands as a classic study of a self divided.",12296,Penguin Classics,The Scarlet Letter
4.34,541 pages,Cassandra Clare,Hardcover,636460,English,"To save her mother's life, Clary must travel to the City of Glass, the ancestral home of the Shadowhunters - never mind that entering the city without permission is against the Law, and breaking the Law could mean death. To make things worse, she learns that Jace does not want her there, and Simon has been thr",3777732,1st Edition,City of Glass
3.9,196 pages,Mitch Albom,Paperback,476322,"
                  ","In heaven, five people explain yo",3431,First,The Five People You Meet in Heaven
