GoodReadAverageRating,numberofpages,author,bookformat,NumberofRatings,Language,description,id,bookEdition,title
4.11,360 pages,Richard Dawkins,Paperback,101675,English,"Inheriting the mantle of revolutionary biologist from Darwin, Watson, and Crick, Richard Dawkins forced an enormous change in the way we see ourselves and the world with the publication of The Selfish Gene. Suppose, instead of thinking about organisms using genes to reproduce themselves, as we had since Mendel's work was rediscovered, we turn it around and imagine that ""our"" genes build and maintain us in order to make more genes. That simple reversal seems to answer many puzzlers which had stumped scientists for years, and we haven't thought of evolution in the same way since.",61535,30th Anniversary Edition,The Selfish Gene
3.86,227 pages,Joan Didion,Paperback,100166,English,At first they thought,7815,Vintage International (US / Canada),The Year of Magical Thinking
3.72,267 pages,William Faulkner,Paperback,111390,English,"William Cuthbert Faulkner was a Nobel Prize-winning American novelist and short story writer. One of the most influential writers of the twentieth century, his reputation is based mostly on his novels, novellas, and short stories. He was also a published poet and an occasional screenwriter.",77013,Book Club Edition,As I Lay Dying
3.72,335 pages,Upton Sinclair,Paperback,110068,English,"Upton Sinclair's dramatic and deeply moving story exposed the brutal conditions in the Chicago stockyards at the turn of the nineteenth century and brought into sharp moral focus the appalling odds against which immigrants and other working people struggled for their share of the American dream. Denounced by the conservative press as an un-American libel on the meatpacking industry, this book was championed by more progressive thinkers, including then president Theodore Roosevelt, and was a major catalyst to the passing of the Pure Food and Meat Inspection act, which has tremendous impact to this day.",41681,The Uncensored Original Edition,The Jungle
4.03,390 pages,Kelley Armstrong,Hardcover,137480,English,"All I wanted was to make friends, meet boys, and keep on being ordinary. I don't even know what that means anymore. It all started on the day that I saw my first ghost - and the ghost saw me.",2800905,First Edition,The Summoning
3.69,328 pages,Melissa Marr,Hardcover,136716,English,"Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.",305234,1st Edition,Wicked Lovely 
4.04,243 pages,Oliver Sacks,Paperback,112586,English,") recounts the case histories of patients lost in the bizarre, apparently inescapable world of neurological disorders. Oliver Sacks's ",63697,First Touchstone Edition,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
3.74,325 pages,Muriel Barbery,Paperback,119462,English,"We are in the center of Paris, in an elegant apartment building inhabited by bourgeois families. Renée, the concierge, is witness to the lavish but vacuous lives of her numerous employers. Outwardly she conforms to every stereotype of the concierge: fat, cantankerous, addicted t",2967752,First English Edition,L'élégance du hérisson
3.97,308 pages,Albert Camus,Paperback,112798,English," is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents",11989,First Vintage International Edition,La peste
4.11,160 pages,Astrid Lindgren,Mass Market Paperback,131278,English,"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!",19302,"Puffin Modern Classics, US / CAN",Pippi Långstrump
3.88,311 pages,Charlaine Harris,Hardcover,138449,English,"Sookie Stackhouse is dealing with a whole host of family problems, ranging from her own kin (a non-human fairy and a telepathic second cousin) demanding a place in her life, to her lover Eric's vampire sire, an ancient being who arrives with Eric's 'brother' in tow at a most inopportune moment. And Sookie's tracking down a distant relation of her a",7091488,1st Edition,Dead in the Family
4.23,448 pages,Jamie McGuire,Paperback,145779,English,In ,15745950,Original Edition,Walking Disaster
3.8,240 pages,Lois Lowry,Paperback,128753,English,"In her strongest work to date, Lois Lowry once again creates a mysterious but plausible future world. It is a society ruled by savagery and deceit that shuns and discards the weak. Left orphaned and physically flawed, young Kira faces a frightening, uncertain future. Blessed with an almost magical talent that keeps her alive, she struggles with ever broadening responsibilities in her quest for truth, discovering things that will change her life forever.",12936,Reader's Circle,Gathering Blue
4.03,182 pages,Ellen Raskin,Paperback,125597,English,"Ellen Raskin was a writer, illustrator, and designer. She was born in Milwaukee, Wisconsin, and grew up during the Great Depression. She primarily wrote for children. She received the 1979 Newbery Medal for her 1978 book, The Westing Game.",902,Penguin,The Westing Game
4.2,224 pages,Raina Telgemeier,Hardcover,105343,English,"bestselling, Eisner Award-winning graphic memoir based on her childhood!",6393631,Graphic novel,Smile
3.79,237 pages,William Shakespeare,Paperback,129223,English,"The Merchant of Venice is one of Shakespeare’s most popular comedies, but it remains deeply controversial. The text may seem anti-Semitic; yet repeatedly, in performance, it has revealed a contrasting nature. Shylock, though vanquished in the law-court, often triumphs in the theatre. In his intensity he can dominate the play, challenging abrasively its romantic and lyrical affirmations. What results is a bitter-sweet drama.",24128,Folger Shakespeare Library,The Merchant of Venice
4.28,421 pages,Sarah J. Maas,Hardcover,194924,English,Dragged to a magical kingdom for th,16096824,1st Edition,A Court of Thorns and Roses
3.98,256 pages,Kenneth Grahame,Paperback,141101,English,"Meet little Mole, willful Ratty, Badger the perennial bachelor, and petulant Toad. Over one hundred years since their first appearance in 1908, they've become emblematic archetypes of eccentricity, folly, and friendship. And their misadventures-in gypsy caravans, stolen sports cars, and their Wild Wood-continue to capture readers' imaginations and warm their hearts long after they grow up. Begun as a series of letters from Kenneth Grahame to his son, ",5659,Penguin Classics,The Wind in the Willows
4.3,329 pages,Diana Wynne Jones,Mass Market Paperback,141429,English,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.",6294,Greenwillow Books,Howl's Moving Castle
3.46,493 pages,Dave Eggers,Hardcover,132392,English,"When Mae Holland is hired to work for the Circle, the world’s most powerful internet company, she feels she’s been given the opportunity of a lifetime. The Circle, run out of a sprawling California campus, links users’ personal emails, social media, banking, and purchasing with their universal operating system, resulting in one online identity and a new age of civility and transparency. ",18302455,First edition,The Circle
3.7,336 pages,Seth Grahame-Smith,Hardcover,119116,English,"""My baby boy..."" she whispers before dying.",7108001,First,Abraham Lincoln: Vampire Hunter
4.31,880 pages,Jacob Grimm,Paperback,128451,English,"Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (a.k.a. Little Red Riding Hood), and Briar-Rose (a.k.a. Sleeping Beauty) are only a few of more than 200 enchanting characters",22917,Pantheon Fairy Tale and Folklore Library,Brüder Grimm: Kinder- und Hausmärchen
3.93,323 pages,P.C. Cast,Hardcover,146616,English,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",4134071,First Edition,Hunted
4.14,304 pages,Patti Smith,Hardcover,119037,English,", Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality",341879,First Edition,Just Kids
3.65,95 pages,William Shakespeare,Paperback,136733,English,"The Oxford School Shakespeare has become the preferred introduction to the literary legacy of the greatest playwright in the English language. This exclusive collection of the Bard's best works has been designed specifically for readers new to Shakespeare's rich literary legacy. Each play is presented complete and unabridged, in large print. Every book is well illustrated, and starts with a commentary and character summary. Scene synopses and character summaries clarify confusing plots, while incisive essays explore the historical context and Shakespeare's sources. Each book ends with a complete list of Shakespeare's plays and a brief chronology of the Bard's life. The detailed explanatory notes are written clearly and positioned right next to the text--no more squinting at microscopic footnotes or flipping pages back and forth in search of endnotes! ",13006,Oxford School Shakespeare,The Tragedy of Julius Caesar
4.23,299 pages,Jennifer L. Armentrout,Paperback,177711,English,"When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.",12578077,2nd Edition,Obsidian
4.17,491 pages,Garth Nix,Mass Market Paperback,146883,English,"With Sabriel, the first installment in the Abhorsen seri",518848,First American Edition,Sabriel
4.33,2700 pages,Laura Ingalls Wilder,Boxed Set,129150,English,"Ingalls wrote a series of historical fiction books for children based on her childhood growing up in a pioneer family. She also wrote a regular newspaper column and kept a diary as an adult moving from South Dakota to Missouri, the latter of which has been published as a book.",114345,Box Set,The Little House Collection
4.26,444 pages,Christopher Moore,Paperback,126532,English,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams""-",28881,1st Perennial,"Lamb: The Gospel According to Biff, Christ's Childhood Pal"
4.19,24 pages,Bill Martin Jr.,Board book,127729,English,"The book itself has little to no plot. Instead, the narrator asks various animals what they see with the response usually being another animal, the",759611,25th Anniversary Edition,"Brown Bear, Brown Bear, What Do You See?"
3.41,96 pages,John Steinbeck,Paperback,147238,English,"Like his father and grandfather before him, Kino is a poor diver, gathering pearls from the gulf beds that once brought great wealth to the kings of Spain and now provide Kino, Juana, and their infant son with meager subsistence. Then, on a day like any other, Kino emerges from the sea with a pearl as large as a sea gull’s egg, as “perfect as the moon.” With the pearl comes hope, the promise of comfort and of security…",5308,Centennial Edition,The Pearl of the World
3.51,178 pages,Stephenie Meyer,Hardcover,160351,English,"All Bree knows is that living with her fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and abo",7937462,First Edition,The Short Second Life of Bree Tanner
3.95,280 pages,Sharon Creech,Paperback,133515,English,"Instantly, Phoebe Winterbottom came to mind. ""I could tell you an extensively strange story,"" I warned.",53496,Summer Reading Edition,Walk Two Moons
3.91,252 pages,Jules Verne,Paperback,142164,English,"One ill-fated evening at the Reform Club, Phileas Fogg rashly bets his companions £20,000 that he can travel around the entire globe in just eighty days - and he is determined not to lose. Breaking the well-establised routine of his daily life, the reserved Englishman immediately sets off for Dover, accompanied by his hot-blooded French manservant Passepartout. Travelling by train, steamship, sailing boat, sledge and even elephant, they must overcome storms, kidnappings, natural disasters, Sioux attacks and the dogged Inspector Fix of Scotland Yard - who believes that Fogg has robbed the Bank of England - to win the extraordinary wager. ",54479,Extraordinary Voyages #11,Le tour du monde en quatre-vingts jours
4.1,973 pages,John Irving,Hardcover,134974,English,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",4687,Large Print,The Cider House Rules
4.0,289 pages,Matthew Quick,Paperback,130050,English,"Meet Pat. Pat has a theory: his life is a movie produced by God. And his God-given mission is to become physically fit and emotionally literate, whereupon God will ensure a happy ending for him -- the return of his estranged wife Nikki. (It might not come as a surprise to learn that Pat has spent time in a mental health facility.) The problem is, Pat's now home, and everything feels off. No one will talk to him about Nikki; his beloved Philadelphia Eagles keep losing; he's being pursued by the deeply odd Tiffany; his new therapist seems to recommend adultery as a form of therapy. Plus, he's being hunted by Kenny G!",13539044,Movie Tie-in Edition,The Silver Linings Playbook
4.03,455 pages,Robert Galbraith,Hardcover,147752,English,"When novelist Owen Quine goes missing, his wife calls in private detective Cormoran Strike. At first, Mrs. Quine just thinks her husband has gone off by himself for a few days—as he has done before—and she wants Strike to find him and bring him home.",18214414,US edition,The Silkworm
4.31,320 pages,Stephen King,Mass Market Paperback,153699,English, upon the publication of Stephen King's ,10569,US / CAN,On Writing: A Memoir of the Craft
3.86,394 pages,Jules Verne,Hardcover,149950,English,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels ,33507,"Extraordinary Voyages, #6",Vingt Mille Lieues Sous les Mers
4.19,356 pages,Sylvia Day,Paperback,158370,English,"No one knows how much he risked for me. How much I'd been threatened, or just how dark and desperate the shadow of our pas",15731779,First Edition,Entwined with You
4.06,386 pages,David McCullough,Paperback,137300,English,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.",1067,US / Canada,1776
4.04,766 pages,Justin Cronin,Hardcover,146984,English,"First, the unthinkable: a security breach at a secret U.S. government facility unleashes the monstrous product of a chilling military experiment. Then, the unspeakable: a night of chaos and carnage gives way to sunrise on a nation, and ultimately a world, forever altered. All that remains for",6690798,USA,The Passage
3.8,1006 pages,Susanna Clarke,Paperback,156072,English,"English magicians were once the wonder of the known world, with fairy servants at their beck and call; they could c",14201,First Tor Edition,Jonathan Strange & Mr Norrell
3.52,367 pages,Ally Condie,Paperback,180621,English,The books you read. ,15812814,Reprint Edition,Crossed
4.08,849 pages,Christopher Paolini,Hardcover,164151,English,... It ends with ,7664041,First Edition,Inheritance
3.97,352 pages,Johanna Spyri,Hardcover,155118,English,"Orphaned Heidi lives with her gruff but caring grandfather on the side of Swiss mountain, where she befriends young Peter the goat-herd. She leads an idyllic life, until she is forced to leave the mountain she has always known to go and live with a sickly girl in the city. Will Heidi ever see her grandfather again? A classic tale of a young girl's coming-of-age, of friendship, and familial love.",93,Kingfisher Classics,Heidi
4.12,182 pages,Ray Bradbury,Mass Market Paperback,157797,English,The Martian Chronicles tells the story of humanity’s repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dw,76778,Grand Master Edition,The Martian Chronicles
