title,id,description,Language,bookformat,bookEdition,NumberofRatings,GoodReadAverageRating,author,numberofpages
The Illuminatus! Trilogy,57913,"It was a deadly mistake. Joseph Malik, editor of a radical magazine, had snooped into rumors about an ancient secret society that was still alive and kicking. Now his offices have been bombed, he's missing, and the case has landed in the lap of a tough, cynical, streetwise New York detective. Saul Goodman knows he's stumbled onto something big—but even he can't guess how far into the pinnacles of power this conspiracy of evil has penetrated.",English,Paperback,Trade Paperback,13200,4.0,Robert Shea,805 pages
Lockdown,6420846, and ,English,Hardcover,1st Edition,15683,4.1,Alexander Gordon Smith,273 pages
"Fables, Volume 5: The Mean Seasons",21330,"For Bigby Wolf, the father of her soon-to-be newborns, tha",English,Paperback,Trade,18408,4.19,Bill Willingham,166 pages
Lady Audley's Secret,588747,"This Victorian bestseller, along with Braddon's other famous novel, Aurora Floyd, established her as the main rival of the master of the sensational novel, Wilkie Collins. A protest against the passive, insipid 19th-century heroine, Lady Audley was described by one critic of the time as ""high-strung, full of passion, purpose, and movement."" Her crime (the secret of the title) is shown to threaten the apparently respectable middle-class world of Victorian England.",English,Paperback,Oxford World's Classics,15510,3.73,Mary Elizabeth Braddon,455 pages
The List,2430,"Martini's first career was in journalism. He worked as a newspaper reporter for the Los Angeles Daily Journal, the largest legal newspaper in the country covering the state, the local courts and the civic center beat. In 1970 he became the newspaper’s first correspondent at the State Capitol in Sacramento and later its bureau chief. There he specialized in legal and political coverage. During this",English,Paperback,Large Print,11894,3.95,Steve Martini,451 pages
Bloodline,13148921,"Galilee, 1025. A cunning Templar knight uncovers a holy treasure: the Bachal Isu — the staff of Jesus Christ — a priceless icon that holds a mysterious and terrifying power that will forever change humanity if unleashed.",English,Hardcover,1st,15326,4.23,James Rollins,464 pages
Dog on It,5600151,", the first entry in Spencer Quinn's new mystery series. ",English,Hardcover,First Atria Books hardcover edition,15658,3.85,Spencer Quinn,305 pages
Divine Misdemeanors ,6098691,"Laurell K. Hamilton is one of the leading writers of paranormal fiction. A #1 New York Times bestselling author, Hamilton writes the popular Anita Blake, Vampire Hunter novels and the Meredith Gentry series. She is also the creator of a bestselling comic book series based on her Anita Blake novels and published by Marvel Comics. Hamilton is a full-time writer and lives in the suburbs of St. Louis",English,Hardcover,First Edition,21471,4.04,Laurell K. Hamilton,333 pages
No Mercy,7200351,"New York Times and international bestselling author Sherrilyn Kenyon is a regular at the #1 spot. With legions of fans known as Menyons (thousands of whom proudly sport tattoos from her series and who travel from all over the world to attend her appearances), her books are always snatched up as soon as they appear on store shelves. Since 2004, she had placed more than 80 novels on the New York Times list in all formats including manga and graphic novels. Her current series are: Dark-Hunter, Chronicles of Nick and The League, and her books are available in over 100 countries where eager fans impatiently wait for the next release. Her Chronicles of Nick and Dark-Hunter series are soon to be major motion pictures while Dark-Hunter is also being developed as a television series. Join her and her Menyons online at SherrilynKenyon.com and ",English,Hardcover,1st Edition,21452,4.28,Sherrilyn Kenyon,343 pages
Upon the Midnight Clear,490403,At one time he was a world-renowned celebrity who gave freely of himself and his money without wanting anything in return...until those around him took without asking. Now Aidan wants nothing of the world--or anyone who's a part of it. ,English,Mass Market Paperback,First Edition,22977,4.0,Sherrilyn Kenyon,282 pages
