id,numberofpages,description,bookEdition,author,title,GoodReadAverageRating,NumberofRatings,Language,bookformat
61535,360 pages,"Inheriting the mantle of revolutionary biologist from Darwin, Watson, and Crick, Richard Dawkins forced an enormous change in the way we see ourselves and the world with the publication of The Selfish Gene. Suppose, instead of thinking about organisms using genes to reproduce themselves, as we had since Mendel's work was rediscovered, we turn it around and imagine that ""our"" genes build and maintain us in order to make more genes. That simple reversal seems to answer many puzzlers which had stumped scientists for years, and we haven't thought of evolution in the same way since.",30th Anniversary Edition,Richard Dawkins,The Selfish Gene,4.11,101675,English,Paperback
7815,227 pages,At first they thought,Vintage International (US / Canada),Joan Didion,The Year of Magical Thinking,3.86,100166,English,Paperback
77013,267 pages,"William Cuthbert Faulkner was a Nobel Prize-winning American novelist and short story writer. One of the most influential writers of the twentieth century, his reputation is based mostly on his novels, novellas, and short stories. He was also a published poet and an occasional screenwriter.",Book Club Edition,William Faulkner,As I Lay Dying,3.72,111400,English,Paperback
63697,243 pages,") recounts the case histories of patients lost in the bizarre, apparently inescapable world of neurological disorders. Oliver Sacks's ",First Touchstone Edition,Oliver Sacks,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.04,112586,English,Paperback
2800905,390 pages,"All I wanted was to make friends, meet boys, and keep on being ordinary. I don't even know what that means anymore. It all started on the day that I saw my first ghost - and the ghost saw me.",First Edition,Kelley Armstrong,The Summoning,4.03,137480,English,Hardcover
41681,335 pages,"Upton Sinclair's dramatic and deeply moving story exposed the brutal conditions in the Chicago stockyards at the turn of the nineteenth century and brought into sharp moral focus the appalling odds against which immigrants and other working people struggled for their share of the American dream. Denounced by the conservative press as an un-American libel on the meatpacking industry, this book was championed by more progressive thinkers, including then president Theodore Roosevelt, and was a major catalyst to the passing of the Pure Food and Meat Inspection act, which has tremendous impact to this day.",The Uncensored Original Edition,Upton Sinclair,The Jungle,3.72,110068,English,Paperback
305234,328 pages,"Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.",1st Edition,Melissa Marr,Wicked Lovely ,3.69,136716,English,Hardcover
11989,308 pages," is at once a masterfully crafted novel, eloquently understated and epic in scope, and a parable of ageless moral resonance, profoundly relevant to our times. In Oran, a coastal town in North Africa, the plague begins as a series of portents",First Vintage International Edition,Albert Camus,La peste,3.97,112798,English,Paperback
19302,160 pages,"Tommy and his sister Annika have a new neighbor, and her name is Pippi Longstocking. She has crazy red pigtails, no parents to tell her what to do, a horse that lives on her porch, and a flair for the outrageous that seems to lead to one adventure after another!","Puffin Modern Classics, US / CAN",Astrid Lindgren,Pippi Långstrump,4.11,131278,English,Mass Market Paperback
7091488,311 pages,"Sookie Stackhouse is dealing with a whole host of family problems, ranging from her own kin (a non-human fairy and a telepathic second cousin) demanding a place in her life, to her lover Eric's vampire sire, an ancient being who arrives with Eric's 'brother' in tow at a most inopportune moment. And Sookie's tracking down a distant relation of her a",1st Edition,Charlaine Harris,Dead in the Family,3.88,138449,English,Hardcover
2967752,325 pages,"We are in the center of Paris, in an elegant apartment building inhabited by bourgeois families. Renée, the concierge, is witness to the lavish but vacuous lives of her numerous employers. Outwardly she conforms to every stereotype of the concierge: fat, cantankerous, addicted t",First English Edition,Muriel Barbery,L'élégance du hérisson,3.74,119462,English,Paperback
902,182 pages,"Ellen Raskin was a writer, illustrator, and designer. She was born in Milwaukee, Wisconsin, and grew up during the Great Depression. She primarily wrote for children. She received the 1979 Newbery Medal for her 1978 book, The Westing Game.",Penguin,Ellen Raskin,The Westing Game,4.03,125597,English,Paperback
12936,240 pages,"In her strongest work to date, Lois Lowry once again creates a mysterious but plausible future world. It is a society ruled by savagery and deceit that shuns and discards the weak. Left orphaned and physically flawed, young Kira faces a frightening, uncertain future. Blessed with an almost magical talent that keeps her alive, she struggles with ever broadening responsibilities in her quest for truth, discovering things that will change her life forever.",Reader's Circle,Lois Lowry,Gathering Blue,3.8,128753,English,Paperback
15745950,448 pages,In ,Original Edition,Jamie McGuire,Walking Disaster,4.23,145779,English,Paperback
6393631,224 pages,"bestselling, Eisner Award-winning graphic memoir based on her childhood!",Graphic novel,Raina Telgemeier,Smile,4.2,105343,English,Hardcover
24128,237 pages,"The Merchant of Venice is one of Shakespeare’s most popular comedies, but it remains deeply controversial. The text may seem anti-Semitic; yet repeatedly, in performance, it has revealed a contrasting nature. Shylock, though vanquished in the law-court, often triumphs in the theatre. In his intensity he can dominate the play, challenging abrasively its romantic and lyrical affirmations. What results is a bitter-sweet drama.",Folger Shakespeare Library,William Shakespeare,The Merchant of Venice,3.79,129223,English,Paperback
16096824,421 pages,Dragged to a magical kingdom for th,1st Edition,Sarah J. Maas,A Court of Thorns and Roses,4.28,194924,English,Hardcover
5659,256 pages,"Meet little Mole, willful Ratty, Badger the perennial bachelor, and petulant Toad. Over one hundred years since their first appearance in 1908, they've become emblematic archetypes of eccentricity, folly, and friendship. And their misadventures-in gypsy caravans, stolen sports cars, and their Wild Wood-continue to capture readers' imaginations and warm their hearts long after they grow up. Begun as a series of letters from Kenneth Grahame to his son, ",Penguin Classics,Kenneth Grahame,The Wind in the Willows,3.98,141101,English,Paperback
6294,329 pages,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.",Greenwillow Books,Diana Wynne Jones,Howl's Moving Castle,4.3,141429,English,Mass Market Paperback
7108001,336 pages,"""My baby boy..."" she whispers before dying.",First,Seth Grahame-Smith,Abraham Lincoln: Vampire Hunter,3.7,119116,English,Hardcover
18302455,493 pages,"When Mae Holland is hired to work for the Circle, the world’s most powerful internet company, she feels she’s been given the opportunity of a lifetime. The Circle, run out of a sprawling California campus, links users’ personal emails, social media, banking, and purchasing with their universal operating system, resulting in one online identity and a new age of civility and transparency. ",First edition,Dave Eggers,The Circle,3.46,132392,English,Hardcover
22917,880 pages,"Cinderella, Rapunzel, Snow-White, Hänsel and Gretel, Little Red-Cap (a.k.a. Little Red Riding Hood), and Briar-Rose (a.k.a. Sleeping Beauty) are only a few of more than 200 enchanting characters",Pantheon Fairy Tale and Folklore Library,Jacob Grimm,Brüder Grimm: Kinder- und Hausmärchen,4.31,128451,English,Paperback
4134071,323 pages,"What if the hottest guy in the world was hiding a nameless evil, and all he wanted was you? At the start of this heart-pounding new installment of the bestselling House of Night series, Zoey’s friends have her back again and Stevie Rae and the red fledglings aren’t Neferet’s secrets any longer. But an unexpected danger has emerged. Neferet guards her powerful new consort, Kalona, and no one at the House of Night seems to understand the threat he poses. Kalona looks gorgeous, and he has the House of Night under his spell. A past life holds the key to breaking his rapidly spreading influence, but what if this past life shows Zoey secrets she doesn’t want to hear and truths she can’t face?",First Edition,P.C. Cast,Hunted,3.93,146616,English,Hardcover
341879,304 pages,", Patti Smith's first book of prose, the legendary American artist offers a never-before-seen glimpse of her remarkable relationship with photographer Robert Mapplethorpe in the epochal days of New York City and the Chelsea Hotel in the late sixties and seventies. An honest and moving story of youth and friendship, Smith brings the same unique, lyrical quality",First Edition,Patti Smith,Just Kids,4.14,119037,English,Hardcover
13006,95 pages,"The Oxford School Shakespeare has become the preferred introduction to the literary legacy of the greatest playwright in the English language. This exclusive collection of the Bard's best works has been designed specifically for readers new to Shakespeare's rich literary legacy. Each play is presented complete and unabridged, in large print. Every book is well illustrated, and starts with a commentary and character summary. Scene synopses and character summaries clarify confusing plots, while incisive essays explore the historical context and Shakespeare's sources. Each book ends with a complete list of Shakespeare's plays and a brief chronology of the Bard's life. The detailed explanatory notes are written clearly and positioned right next to the text--no more squinting at microscopic footnotes or flipping pages back and forth in search of endnotes! ",Oxford School Shakespeare,William Shakespeare,The Tragedy of Julius Caesar,3.65,136733,English,Paperback
12578077,299 pages,"When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick accents, dodgy internet access, and a whole lot of boring… until I spotted my hot neighbor, with his looming height and eerie green eyes. Things were looking up.",2nd Edition,Jennifer L. Armentrout,Obsidian,4.23,177711,English,Paperback
