author,Language,id,numberofpages,description,title,bookEdition,GoodReadAverageRating,NumberofRatings,bookformat
Jeff Kinney,English,7823678,217 pages,"Greg suddenly finds himself dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older—all without his best friend, Rowley, at his side. Can Greg make it through on his own? Or will he have to f",The Ugly Truth,First Edition,4.16,73806,Hardcover
Anna Quindlen,English,5157,288 pages,"Now she is starting over in a city far from home, far fr",Black and Blue,Delta Fiction,3.86,69965,Paperback
أحمد مراد,"
                  ",16031620,385 pages,"في ""8 غرب""، القسم الذي يقرّر مَصير مُرتكبي الجرائم، يُقابل صديقاً قديماً يحمل إليه ماضياً جاهد طويلاً لينساه، ويصبح مَصيره فجأة بين يدي يحيى..",الفيل الأزرق,الطبعة الاولى,3.8,54574,Paperback
Robert Jordan,"
                  ",13891,780 pages,"Mazrim Taim, leader of the Black Tower, is revealed to be a liar. But what is he up to?","
                  081257558X
                      ",First Mass Market Edition,3.92,78148,Mass Market Paperback
Robert Jordan,English,7743175,909 pages,"In the Field of Merrilor the rulers of the nations gather to join behind Rand al’Thor, or to stop him from his plan to br",A Memory of Light,First,4.5,76738,Hardcover
Peter V. Brett,English,3428935,416 pages,"As darkness falls after sunset, the corelings rise—demons who possess supernatural powers and burn with a consuming hatred of humanity. For hundreds of years the demons have terrorized the night, slowly culling the human herd that shelters behind magical wards—symbols of power whose origins are lost in myth and whose protection is terrifyingly fragile. It was not always this way. Once, men and women battled the corelings on equal terms, but those days are gone. Night by night the demons grow stronger, while human numbers dwindle under their relentless assault. Now, with hope for the future fading, three young survivors of vicious demon attacks will dare the impossible, stepping beyond the crumbling safety of the wards to risk everything in a desperate quest to regain the secrets of the past. Together, they will stand against the night.",The Painted Man,First Edition,4.27,78696,Hardcover
Robert Louis Stevenson,English,51497,178 pages,"Published as a 'shilling shocker', Robert Louis Stevenson's dark psychological fantasy gave birth to the idea of the split personality. The story of respectable Dr Jekyll's strange association with 'damnable young man' Edward Hyde; the hunt through fog-bound London for a killer; and the final revelation of Hyde's true identity is a chilling exploration of humanity's basest capacity for evil. The other stories in this volume also testify to Stevenson's inventiveness within the Gothic tradition: ""Olalla', a tale of vampirism and tainted family blood, and 'The Body Snatcher', a gruesome fictionalisation of the exploits of the notorious Burke and Hare.",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror ,Penguin Classics,3.94,81734,Paperback
Emily Seife,"
                  ",13027304,128 pages,"Here is the ultimate guide to the twenty-fourth annual Hunger Games. Follow the tributes' journey from the reaping to the Games, with an exclusive look at all the highlights along the way—the trip to the Capitol, t","
                  0545457823
                      ",First Edition,4.4,68745,Paperback
Marissa Meyer,English,13206900,827 pages,"Winter despises her stepmother, and knows Levana won't approve of her feelings for her childhood friend--the handsome palace guard, Jacin. But Winter isn't as weak as L",Winter,1st,4.49,113185,Hardcover
Karin Slaughter,English,25574782,688 pages,Sisters. Strangers. Survivors.,Pretty Girls,Large print,3.95,89340,Paperback
Joe Abercrombie,English,944076,536 pages,"With too many masters and too little time, Superior Glokta i",Last Argument of Kings,First Edition,4.26,74060,Trade Paperback
Malcolm Gladwell,English,6516450,444 pages,"In the past decade, Malcolm Gladwell has written three books that have radically changed how we understand our world",What the Dog Saw and Other Adventures,Large Print,3.82,71108,Hardcover
Anonymous,English,323355,531 pages,"The book was written by many ancient prophets by the spirit of prophecy and revelation. Their words, written on gold plates, were quoted and abridged by a p",The Book of Mormon,2013 Edition,4.37,66359,Paperback
Erik Larson,English,22551730,430 pages,"On May 1, 1915, with WWI entering its tenth month, a luxury ocean liner as richly appointed as an English country house sailed out of New York, bound for Liverpool, carrying a record number of children and infants. The passengers were surprisingly at ease, even though Germany had declared the seas around Britain to be a war zone. For months, German U-boats had brought terror to the North Atlantic. But the ",Dead Wake: The Last Crossing of the Lusitania,First Edition,4.07,74063,Hardcover
Eiichirō Oda,English,1237398,210 pages,"As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when he accidentally ate the fruit of the Gum-Gum Tree and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the world...","One Piece, Volume 01",SHONEN JUMP Manga Edition,4.42,68505,Paperback
Peter S. Beagle,English,29127,294 pages,"The unicorn had lived since before memory in a forest where death could touch nothing. Maidens who caught a glimpse of her glory were blessed by enchantment they would never forget. But outside her wondrous realm, dark whispers and rumours carried a message she could not ignore: ""Unicorns are gone from the",The Last Unicorn,Revised 2007,4.18,80991,Paperback
Cormac McCarthy,English,469571,302 pages,"Cormac McCarthy is an American novelist and playwright. He has written ten novels in the Southern Gothic, western, and post-apocalyptic genres and has also written plays and screenplays. He received the Pulitzer Prize in 2007 for ",All the Pretty Horses,First Vintage Edition,3.97,73644,Paperback
Don DeLillo,English,11762,320 pages," tells the story of Jack Gladney, a teacher of Hitler studies at a liberal arts college in Middle America. Jack and his fourth wife, Babette, bound by their love, fear of death, and four ultramodern offspring, navigate the rocky passages of family life to the background babble of brand-nam",White Noise,Penguin Great Books of the 20th Century,3.86,70770,Paperback
Jhumpa Lahiri,English,85301,352 pages,"From the internationally best-selling, Pulitzer Prize–winning author, a superbly crafted new work of fiction: eight storie",Unaccustomed Earth,1st,4.11,67934,Hardcover
Keith Richards,English,9439303,564 pages,"Keith Richards is an English guitarist, songwriter, singer, producer and founding member of The Rolling Stones. As a guitarist Richards is mostly known for his innovative rhythm playing. In 2003 Richards was ranked 10th on Rolling Stone magazine's ""100 Greatest Guitarists of All Time"".",Life,First Edition,3.84,66472,Hardcover
Lemony Snicket,English,172327,259 pages,For A Series of Unfortunate Events:,The Ersatz Elevator,First Edition,4.01,97558,Hardcover
Diana Gabaldon,English,2832909,1149 pages,"Jamie Fraser, erstwhile Jacobite and reluctant rebel, knows three things about the American rebellion: the Americans will win, unlikely as that seems in 1778; being on the winning side is no guarantee of survival; and he’d rather die than face his illegitimate son — a young lieutenant in the British Army — across the barrel of a gun. Fraser’s time-travelling wife, Claire, also knows a couple of things: that the Americans will win, but that the ultimate price of victory is a mystery. What she does believe is that the price won’t include Jamie’s life or happiness — not if she has anything to say.",An Echo in the Bone,UK,4.42,86324,Hardcover
Stephen King,English,5413,594 pages,With the addition of fifty pages of material deleted from the 1975 manuscript as wel,'Salem's Lot The Illustrated Edition,Illustrated Edition,4.25,75371,Hardcover
Kim Harrison,English,30264,416 pages,Vampires rule the darkness in a predator-eat-predator world rife with dangers beyond imagining - and it's Rachel Morgan's job to keep that world civilized.,Dead Witch Walking,1st Edition,4.04,97559,Mass Market Paperback
Emily Giffin,English,12987977,372 pages,"Marian Caldwell is a thirty-six year old television producer, living her dream in New York City. With a fulfilling career and satisfying relationship, she has convinced everyon",Where We Belong,1st Edition,3.87,74064,Hardcover
Sandra Cisneros,English,139253,110 pages, is the remarkable story of Esperanza Cordero. ,The House on Mango Street,25th Anniversary Edition,3.57,87723,Paperback
Robert Jordan,English,140974,685 pages,"In Illian, Rand vows to throw the Seanchan back as he did once before. But signs of madness are appearing among the Asha'man.",The Path of Daggers,First Mass Market Edition,3.9,82735,Mass Market Paperback
Jhumpa Lahiri,English,17262100,340 pages,"From Subhash's earliest memories, at every point, his brother was there. In the suburban streets of Calcutta where they wandered before dusk an",The Lowland,1st,3.82,69719,Hardcover
Bill O'Reilly,English,10587120,324 pages,Bill O'Reilly's success in broadcasting and publishing is unmatched. The iconic anchor of The O'Reilly Factor led the program to the status of the highest rated cable news broadcast in the nation for sixteen consecutive years. His website BillOReilly.com is followed by millions all over the world.,Killing Lincoln: The Shocking Assassination that Changed America Forever,First Edition,4.02,77113,Hardcover
Gabriel García Márquez,English,23878,120 pages,"A man returns to the town where a baffling murder took place 27 years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister.",Crónica de una muerte anunciada,First Vintage International Edition,3.95,82650,Paperback
Chuck Palahniuk,English,22288,419 pages,The stories are told by people who have all answered an ad headlined ',Haunted: A Novel of Stories,First Anchor Books edition (w/new Afterword),3.59,72929,Paperback
Joe Abercrombie,English,902715,441 pages,Northmen have spilled over the border of Angland and are spreading fire and death across the fr,Before They Are Hanged,First Edition,4.27,78804,Trade Paperback
Lemony Snicket,English,131123,221 pages,"Dear Reader, ",The Austere Academy,First Edition,3.97,104296,Hardcover
Kelley Armstrong,English,5391115,360 pages,"If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenage necromancer whose powers are out of control: I raise the dead without even trying. Trust me, that is not a power you want to have. Ever.",The Awakening,First Edition,4.16,98579,Hardcover
James Joyce,English,338798,810 pages," as corrected and reset in 1961. Like the first American edition of 1934, it also contains the original foreword by the author and the historic court ruling by Judge John M. Woolsey to remove the federal ban on ",Ulysses,Unabridged,3.74,87148,Paperback
L.M. Montgomery,English,77390,276 pages," a reputation for getting into scrapes. But when Anne begins her job as the new schoolteacher, the real test of her ch",Anne of Avonlea,Special Collector's Edition,4.21,108903,Mass Market Paperback
Watty Piper,English,824204,48 pages,Pseudonym for the Platt & Munk publishing house.,The Little Engine That Could,Original Classic Edition,4.15,83790,Hardcover
Louise Erdrich,English,13602426,323 pages,"One of the most revered novelists of our time - a brilliant chronicler of Native-American life - Louise Erdrich returns to the territory of her bestselling, Pulitzer Prize finalist The Plague of Doves wi",The Round House,First Edition,3.91,76716,Hardcover
Olive Ann Burns,English,306654,391 pages,"On July 5, 1906, scandal breaks in the small town of Cold Sassy, Georgia, when the proprietor of the general store, E. Rucker Blakeslee, elopes with Miss Love Simpson. He is barely three weeks a widower, and she is only half his age and a Yankee to boot. As their marriage inspires a whir",Cold Sassy Tree,Dial Press Trade Paperback edition,3.99,85215,Paperback
Hanya Yanagihara,English,22822858,720 pages,"When four classmates from a small Massachusetts college move to New York to make their way, they're broke, adrift, and buoyed only by their friendship and ambition. There is kind, handsome Willem, an aspiring actor; JB, a quick-witted, sometimes cruel Brooklyn-born painter seeking entry to the art world; Malcolm, a frustrated architect at a prominent firm; and withdrawn, brilliant, enigmatic Jude, who serves as their center of gravity. ",A Little Life,First Edition,4.27,88692,Hardcover
Isaac Marion,English,7619057,240 pages,"Amongst the ruins of an abandoned city, R meets a girl. Her name is Julie and she is the opposite of everything he knows - warm and bright and very much alive, she is a blast of colour in a dreary grey landscape. For reasons he can't understand, R cho",Warm Bodies,UK Edition,3.93,91776,Paperback
Amor Towles,English,10054335,335 pages,"On the last night of 1937, twenty-five-year-old Katey Kontent is in a second-rate Greenwich Village jazz bar with her boardinghouse roommate stretching three dollars as far as it will go when Tinker Grey, a handsome banker with royal blue eyes and a tempered smile, happens to sit at the neighboring table. This chance encounter and its startling consequences propel Katey on a yearlong journey from a Wall Street secretarial pool toward the upper echelons of New York society and the executive suites of Condé Nast--rarefied environs where she will have little to rely upon other than a bracing wit and her own brand of cool nerve. ",Rules of Civility,First Edition,3.99,86903,Hardcover
Mark Twain,English,62446,240 pages,"This treasured historical satire, played out in two very different socioeconomic worlds of 16th-century England, centers around the lives of two boys born in London on the same day: Edward, Prince of Wales and Tom Canty, a street beggar. During a chance encounter, the two realize they are identical and, as a lark, decide to exchange clothes and roles--a situation that briefly, but drastically, alters the lives of both youngsters. The Prince, dressed in rags, wanders about the city's boisterous neighborhoods among the lower classes and endures a series of hardships; meanwhile, poor Tom, now living with the royals, is constantly filled with the dread of being discovered for who and what he really is.",The Prince and the Pauper,100th anniversary edition,3.84,91219,Paperback
Joyce Carol Oates,English,5204,454 pages,"The Mulvaneys of High Point Farm in Mt. Ephraim, New York, are a large and fortunate clan, blessed with good looks, abundant charisma, and boundless promise. But over the twenty-five year span of this ambitious novel, the Mulvaneys will slide, almost imperceptibly at first, from the pinnacle of happiness, transformed by the vagaries of fate into a scattered collection of lost and lonely souls.It is the youngest son, Judd, now an adult, who attempts to piece together the fragments of the Mulvaneys' former glory, seeking to uncover and understand the secret violation that occasioned the family's tragic downfall. Each of the Mulvaneys endures some form of exile- physical or spiritual - but in the end they find a way to bridge the chasms that have opened up among them, reuniting in the spirit of love and healing.",We Were the Mulvaneys,Oprah's Book Club edition,3.7,81319,Paperback
James Joyce,English,11012,207 pages,"James Joyce, Irish novelist, noted for his experimental use of language in such works as ",Dubliners,Oxford World's Classics,3.85,92125,Paperback
Elizabeth Gaskell,English,156538,521 pages,"When her father leaves the Church in a crisis of conscience, Margaret Hale is uprooted from her comfortable home in Hampshire to move with her family to the north of England. Initially repulsed by the ugliness of her new surroundings in the industrial town of Milton, Margaret becomes aware of the poverty and suffering of the local",North and South,Penguin Popular Classics,4.13,107452,Paperback
L.M. Montgomery,English,77392,272 pages,"New adventures lie ahead as Anne Shirley packs her bags, waves good-bye to childhood, and heads for Redmond College. With old friend Prissy Grant waiting in the bustling city of Kingsport and frivolous new pal Philippa Gordon at her side, Anne tucks her memories of rural Avonlea away and discovers life on her own terms, filled with surprises...including a marriage proposal from the worst fellow imaginable, the sale of her very first story, and a tragedy that teaches her a painful lesson. But tears turn to laughter when Anne and her friends move  into an old cottage and an ornery black cat steals her heart. Little does Anne know that handsome Gilbert Blythe wants to win her heart, too. Suddenly Anne must decide if she's ready for love...",Anne of the Island,Special Collector's Edition,4.21,102784,Paperback
Lao Tzu,English,57854,184 pages,", the esoteric but infinitely practical book written most probably in the sixth century B.C. by Lao Tsu, has been translated more frequently than any work except the Bible. This translation of the Chinese classic, which was first published twenty-five years ago, has sold more copies than any of the others. It offers the essence of each word and makes Lao Ts",道德經 [dào dé jīng],25th Anniversary Edition,4.32,81544,Paperback
P.C. Cast,English,8652190,290 pages,"Exonerated by the Vampyre High Council and returned to her position of High Priestess at Tulsa’s House of Night, Neferet has sworn vengeance on Zoey. Dominion over her immortal consort Kalona is only one of the weapons she plans to use against Z. But Zoey has found sanctuary on the Isle of Skye and is being groomed by Queen Sgiach to take over for her there. Being Queen would be cool, wouldn’t it? Why should she return to Tulsa? After losing her human consort, Heath, she will never be the same – and her relationship with her super-hot-warrior, Stark, may never be the same either… And what about Stevie Rae and Rephaim? The Raven Mocker refuses to be used against Stevie Rae, but what choice does he have when no one in the entire world, including Zoey, would be okay with their relationship? Does he betray his father or his heart?",Awakened,First Edition,4.02,108158,Hardcover
Haruki Murakami,English,19288239,386 pages,"Here he gives us the remarkable story of Tsukuru Tazaki, a young man haunted by a great loss; of dreams and nightmares that have","色彩を持たない多崎つくると、彼の巡礼の年 [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]",First American Edition,3.82,87534,Hardcover
Thomas Hardy,English,31463,433 pages,"Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.",Far from the Madding Crowd,Penguin Classics,3.92,98291,Paperback
Kurt Vonnegut Jr.,English,4982,224 pages,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.",The Sirens of Titan,SF Masterworks #18,4.16,84759,Paperback
Stephen King,French,10625,324 pages,"Aujourd'hui, la vieille dame indigne est à nouveau soupçonnée : la riche et sénile Vera Donovan, dont elle est la gouvernante depuis des décennies, vient d'être découvert",Dolores Claiborne,Terreur,3.81,99813,Mass Market Paperback
William Makepeace Thackeray,English,5797,867 pages,"Vanity Fair: A Novel without a Hero is a novel by William Makepeace Thackeray, first published in 1847–48, satirizing society in early 19th-century Britain. The book's title comes from John Bunyan's allegorical story The Pilgrim's Progress, first published in 1678 and still widely read at the time of Thackeray's novel. Vanity fair refers to a stop alon",Vanity Fair: A Novel Without a Hero,Penguin Classics,3.76,98689,Paperback
Bill Willingham,English,21326,128 pages,"When a savage creature known only as the Adversary conquered the fabled lands of legends and fairy tales, all of the infamous inhabitants of folklore were forced into exile. Disguised among the normal citizens of modern-day New York, these magical characters have created their own peaceful and secret society within an exclusive luxury apartment building called Fabletown. But when Snow White's party-girl sister, Rose Red, is apparently murdered, it is up to Fabletown's sheriff, a reformed and pardoned Big Bad Wolf (Bigby Wolf), to determine if the killer is Bluebeard, Rose's ex-lover and notorious wife killer, or Jack, her current live-in boyfriend and former beanstalk-climber.","Fables, Volume 1: Legends in Exile",Trade,3.99,105475,Paperback
Ally Condie,"
                  ",13125947,512 pages,"Ally Condie is a former high school English teacher who lives with her husband, three sons and one daughter outside of Salt Lake City, Utah. She loves reading, running, eating, and listening to her husband play guitar.",Reached,Dutton,3.56,118575,Hardcover
Max Brooks,English,535441,270 pages," is your key to survival against the hordes of undead who may be stalking you right now. Fully illustrated and exhaustively comprehensive, this book covers everything you need to know, including how to understand zombie physiology and behavior, the most effective defense tactics and weaponry, ways to outfit your home for a long siege, and how to su",The Zombie Survival Guide: Complete Protection from the Living Dead,First Broadway Paperback Edition,3.86,87212,Paperback
Salman Rushdie,English,14836,647 pages,But there has been a terrible mix up at b,Midnight's Children,New Edition,3.99,85070,Paperback
Ernest Hemingway,English,4631,182 pages, captures what it meant to be young and poor and writing in Paris during the 1920s. A correspondent for the ,A Moveable Feast,Vintage Classics,4.04,91419,Paperback
