author,Language,id,numberofpages,description,title,bookEdition,GoodReadAverageRating,NumberofRatings,bookformat
Stephen King,English,10588,864 pages,"These fine stories, each written in what King calls ""a burst of faith, happiness & optimism,"" prove his point.",Nightmares & Dreamscapes ,New English Library,3.9,59717,Paperback
Richelle Mead,English,8709526,401 pages,"In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she m",The Indigo Spell,1st Edition,4.4,78310,Hardcover
Michael Chabon,English,16703,414 pages,"For sixty years, Jews have prospered in the Federal District of Sitka, a ""temporary"" safe haven created in the wake of revelations of the Holocaust and the shocking 1948 collapse of the fledgling state of Israel. Now the District is set to revert to Alaskan control, and their dream is coming to an end: once again the tides of history threaten to sweep them up and carry them off into the unknown.",The Yiddish Policemen's Union,First Edition,3.69,52659,Hardcover
Henry James,English,12948,121 pages,"Half-seen figures who glare from dark towers and dusty windows- silent, foul phantoms who, day by day, night by night, come closer, ever closer. With growing horror, the helpless governes",The Turn of the Screw,Penguin Popular Classics,3.45,66644,Paperback
Richard Matheson,English,14064,160 pages,"By day he is the hunter, stalking the undead through the ruins of civilisation. By night, he barricades himself in his home and prays for the dawn.",I Am Legend ,SF Masterworks #2,4.07,60368,Paperback
Oliver Pötzsch,"
                  ",9496240,448 pages,"Magdalena, the clever and headstrong daughter of Bavarian hangman Jakob Kuisl, lives with her father outside the village walls and is destined to be married off to another hangman’s son—except that the town physician’s son is hopelessly in love with her. And her father’s wisdom and empathy are as unusual as his despised profession. It is 1659, the Thirty Years’ War has finally ended, and there hasn’t been a witchcraft mania in decades. But now, a drowning and gruesomely injured boy, tattooed with the mark of a witch, is pulled from a river and the villagers suspect the local midwife, Martha Stechlin.","Die Henkerstochter (Band 1 aus der Reihe ""Die Henkerstochter-Saga)",US Edition,3.71,55100,Kindle Edition
Kerstin Gier,English,8835379,324 pages,"Gwyneth must now unearth the mystery of why her mother would lie about her birth date to ward off suspicion about her ability, brush up on her history, a",Rubinrot,US Edition,4.12,83133,Hardcover
Gabriel García Márquez,English,760,115 pages,Winner of the Nobel Prize for Literature,Memoria de mis putas tristes,First Vintage International Open-Market Edition,3.6,48984,Mass Market Paperback
Sylvia Day,English,17876893,356 pages,"The vows we'd exchanged should have bound us tighter than blood and flesh. Instead they opened old wounds, exposed pain and insecurities, and lured bitter enemies out of the shadows. I felt him slipping from my grasp, my g",Captivated by You,First Edition,4.06,71985,Paperback
Sherrilyn Kenyon,English,84136,337 pages,New York Times and international bestselling author Sherrilyn Kenyon is a regular at the #1 spot. With legions of fans known as Menyons (thousands of whom proudly sport tattoos from her series and who travel from all over the world to attend her ap,Fantasy Lover,First,4.17,75397,Mass Market Paperback
