description,numberofpages,NumberofRatings,id,bookEdition,Language,author,title,bookformat,GoodReadAverageRating
"Michael Chabon's Pulitzer Prize-winning bestseller, The Amazing Adventures of Kavalier & Clay, sprang from an early passion for the derring-do and larger-than-life heroes of classic comic books. Now, once more mining the rich past, Chabon summons the rollicking spirit of legendary adventures—from The Arabian Nights to Alexandre Dumas to Fritz Leiber's Fafhrd and the Gray Mouser stories—in a wonderful new novel brimming with breathless action, raucous humor, cliff-hanging suspense, and a cast of colorful characters worthy of Scheherazade's most tantalizing tales.",204 pages,11525,587638,First Edition,English,Michael Chabon,Gentlemen of the Road,Hardcover,3.42
"Shanghai, 1941 -- a city aflame from the fateful torch of Pearl Harbor. In streets full of chaos and",351 pages,13069,56674,Special Overseas Edition,"
                  ",J.G. Ballard,Empire of the Sun,Paperback,3.98
"The great traction city London has been skulking in the hills to avoid the bigger, faster, hungrier cities loose in the Great Hunting Ground. But now, the sinister plans of Lord Mayor Mangus Crome can finally unfold.",373 pages,14700,287861,Eos,English,Philip Reeve,Mortal Engines,Paperback,3.98
"She tries to put the enormous mistake behind her, but Kyle mercilessly pursues Emmy despite her new relationship with Luke Kessler and Kyle's long-standing girlfriend Jessyca.",346 pages,17120,13601550,2nd Edition,                                  ,L.D. Davis,B007SRWAEW,Kindle Edition,3.94
" chronicles the public careers and private lives of the men who wielded absolute power over Rome, from the foundation of the empire under Julius Cae",363 pages,13041,29022,Revised Edition,English,Suetonius,De vita Caesarum ,Paperback,4.05
"This is a time of endings and beginnings, old friends and new, a blurring of edges and a shifting of power. Now Tiffany stands between the light and the dark, the good and the bad.",276 pages,14079,22886868,First Edition,English,Terry Pratchett,The Shepherd's Crown,Hardcover,4.34
"As the twin to Acheron, Styxx hasn’t always been on his brother’s side. They’ve spent more centuries going at each other’s throats than protecting their backs. Now Styxx",836 pages,16966,15767586,First,English,Sherrilyn Kenyon,Styxx,Hardcover,4.58
"This is Elizabeth Gaskell's first novel, a widely acclaimed work based on the actual murder, in 1831, of a progressive mill owner. It follows Mary Barton, daughter of a man implicated in the murder, through her adolescence, when she suffers the advances of the mill owner, and later through love and marriage. Set in Manchester, between 1837-42, it paints a powerful and moving picture of working-class life in Victorian England.",437 pages,13296,54620,Oxford World's Classics,English,Elizabeth Gaskell,Mary Barton,Paperback,3.7
"#1 international bestselling author of over thirty novels and three collections of short stories. His books are sold in 150 countries and translated into 25 languages. His first novel featuring Lincoln Rhyme, ",657 pages,13778,142545,Large Print,English,Jeffery Deaver,The Stone Monkey,Hardcover,3.94
"Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression -- the state within the state that ruled all-powerfully.Through truly Shakespearean portraits of its victims -- men, women, and children -- we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. The Gulag Archipelago 1918-1956 -- a grisly indictment of a regime, fashioned here into a veritable literary miracle -- has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia.",472 pages,12891,70561,English Edition,English,Aleksandr Solzhenitsyn,"Архипелаг ГУЛАГ, 1918-1956",Paperback,4.16
All they have is the name and number of someone who might be able to give them a f,406 pages,18912,11864728,First Edition,English,Kelley Armstrong,The Rising,Hardcover,4.13
"In the novel that won her the Booker Prize and established her international reputation, Anita Brookner finds a new vocabulary for framing the eternal question ""Why love?"" It tells the story of Edith Hope, who writes romance novels under a pseudonym. When her life begins to resemble the plots of her own novels,",182 pages,12250,251665,First Vintage Contemporaries Edition,English,Anita Brookner,Hotel du Lac,Paperback,3.56
Her books include the highly acclaimed Regeneration trilogy ,288 pages,12693,151926,First Plume Printing,English,Pat Barker,The Ghost Road,Paperback,4.12
