description,NumberofRatings,numberofpages,author,bookformat,GoodReadAverageRating,title,Language,id,bookEdition
"An earthquake in Masada, Israel, kills hundreds and reveals a tomb buried in the heart of the mountain. A trio of investigators—Sergeant Jordan Stone, a military forensic expert; Father Rhun Korza, a Vatican priest; and Dr. Erin Granger, a brilliant but disillusioned archaeologist—are sent to explore the macabre discovery, a subterranean temple holding the crucified body of a mummified girl.",12700,479 pages,James Rollins,Hardcover,3.97,The Blood Gospel: The Order of the Sanguines Series,English,15818164,1st
"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, M",13109,181 pages,Stephen King,Hardcover,4.52,The Shawshank Redemption,English,39664,Large print
"Will all-out war looming between the forces of the Adversary and the free Fables living in the mundane world, everything now depends on a humble janitor known as Flycatcher. Released from centuries of trauma-induced amnesia, Prince Ambrose (as he was known in happier times) faces a long and difficult road - one that will take him through the lands of the dead and into the heart of the enemy's realm. Once there, this unassuming and unlikely hero will face his greatest and most arduous test - and the future of both Fabletown and the Homelands will turn on the outcome. ",13824,238 pages,Bill Willingham,Paperback,4.37,"Fables, Volume 10: The Good Prince",English,2147714,Trade
"Moraes 'Moor' Zogoiby is a 'high-born crossbreed', the last surviving scion of a dynasty of Cochinise spice merchants and crime lords. He is also a compulsive storyteller and an exile. As he travels a route that takes him from India to Spain, he leaves behind a labyrinthine tale of mad passions and volcanic family hatreds, of titanic matriarchs and their mesmerised offspring, of premature deaths and curses that strike beyond the grave. ",10781,434 pages,Salman Rushdie,Paperback,3.92,The Moor's Last Sigh,English,9865,UK
"Each night at precisely 4:33 am, while sixteen-year-old London Lane is asleep, her memory of that day is erased. In the morning, all she can ""remember"" are events from her future. London is used to relying on reminder notes and a trusted friend to get through the day, but things get complicated when a new boy at school enters the picture. Luke Henry is not someone you'd easily forget, yet try as she might, London can't find him in her memories of things to come. ",16741,304 pages,Cat Patrick,Hardcover,3.79,Forgotten,English,9415951,US Edition
"As an idealistic twenty-three-year-old English teacher at Wilson High School in Long beach, California, Erin Gruwell confronted a room of “unteachable, at-risk” students. One day she intercepted a note with an ugly racial caricature, and angrily declared that this was precisely the sort of thing that led to the Holocaust—only to be met by uncomprehending looks. So she and her students, using the treasured books ",12150,316 pages,Erin Gruwell,Paperback,4.09,The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,English,47304,10th Anniversary Edition
Alyss' life is a challe,15759,371 pages,Frank Beddor,Hardcover,3.85,Seeing Redd,English,289695,First Edition
"Captain Marcus d’Ivoire, commander of one of the Vordanai empire’s colonial garrisons, was resigned to serving out his days in a sleepy, remote outpost. But that was before a rebellion upended his life. And once the",12003,513 pages,Django Wexler,Hardcover,4.04,The Thousand Names,English,15810910,US edition
 is a ,11119,192 pages,Chuck Palahniuk,Hardcover,2.84,Tell-All,English,6855294,First Edition
"An old-fashioned London Hotel is not quite as reputable as it makes out! When Miss Marple comes up from the country for a holiday in London, she finds what she's looking for at Bertram's Hotel: traditional decor, impeccable service and an unmistakable atmosphere of danger behind the highly polished veneer. Yet, not even Miss Marple can foresee the violent chain of events set in motion when an eccentric guest makes his way to the airport on the wrong day!",17491,223 pages,Agatha Christie,Paperback,3.7,At Bertram's Hotel,English,16333,Agatha Christie Collection
