author,id,Language,description,title,NumberofRatings,GoodReadAverageRating,bookEdition,bookformat,numberofpages
Stephen E. Ambrose,45546,English,"'This was much more than a bunch of guys out on an exploring and collecting expedition. This was a military expedition into hostile territory'. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a pioneering voyage across the Great Plains and into the Rockies. It was completely uncharted territory; a wild, vast land ruled by the Indians. Charismatic and brave, Lewis was the perfect choice and he experienced the savage North American continent before any other white man. UNDAUNTED COURAGE is the tale of a hero, but it is also a tragedy. Lewis may have received a hero's welcome on his return to Washington in 1806, but his discoveries did not match the president's fantasies of sweeping, fertile plains ripe for the taking. Feeling the expedition had been a failure, Lewis took to drink and piled up debts. Full of colourful characters - Jefferson, the president obsessed with conquering the west; William Clark, the rugged frontiersman; Sacagawea, the Indian girl who accompanied the expedition; Drouillard, the French-Indian hunter - this is one of the great adventure stories of all time and it shot to the top of the US bestseller charts. Drama, suspense, danger and diplomacy combine with romance and personal tragedy making UNDAUNTED COURAGE an outstanding work of scholarship and a thrilling adventure.",Undaunted Courage,37297,4.22,Later Printing,Paperback,592 pages
Richard Wright,228630,English," remains a seminal text in our history about what it means to be a man, black, and Southern in America.",Black Boy: A Record of Youth and Childhood,40131,4.02,The Restored Text Established by The Library of America,Paperback,419 pages
Shirley Jackson,89724,English,"Merricat Blackwood lives on the family estate with her sister Constance and her Uncle Julian. Not long ago there were seven Blackwoods—until a fatal dose of arsenic found its way into the sugar bowl one terrible night. Acquitted of the murders, Constance has returned home, where Merricat protects her from the curiosity and hostility of the villagers. Their days pass in happy isolation until cousin Charles appears. Only Merricat can see the danger, and she must act swiftly to keep Constance from his grasp.",We Have Always Lived in the Castle,52681,4.05,Penguin Classics Deluxe,Paperback,160 pages
Ben Aaronovitch,8680417,English,"Probationary Constable Peter Grant dreams of being a detective in London’s Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he’ll face is a paper cut. But Peter’s prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter’s ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates crimes involving magic and other manifestations of the uncanny. Now, as a wave of brutal and bizarre murders engulfs the city, Peter is plunged into a world where gods and goddesses mingle with mortals and a long-dead evil is making a comeback on a rising tide of magic.",Rivers of London,49572,3.92,Del Rey,Paperback,298 pages
Anne Rice,119091,English,"Anne Rice (born Howard Allen Frances O'Brien) is a best-selling American author of gothic, supernatural, historical, erotica, and later religious themed books. Best known for ",Taltos,44598,3.78,Abridged,Audio Cassette,4 pages
Thomas Hardy,56759,English,’,The Mayor of Casterbridge,44561,3.8,Penguin Classics,Paperback,445 pages
Claudia Gray,3054684,English,But Bianca fell in love with Lucas—a vampire hunter sworn to destroy her kind. They were torn apart when his true identity was reve,Stargazer,51377,3.8,First Edition,Hardcover,329 pages
Louis Sachar,10065,English,"Louis Sachar (pronounced Sacker), born March 20, 1954, is an American author of children's books.",Wayside School is Falling Down,47371,4.17,LCC 9794944,Paperback,152 pages
Nick Bantock,381102,English,"It all started with a mysterious and seemingly innocent postcard, but from that point nothing was to remain the same in the life of Griffin Moss, a quiet, solitary artist living in London. His logical, methodical world was suddenly turned upside down by a strangely exotic woman living on a tropical island thousands of miles away. Who is Sabine? How can she ""see"" what Griffin is painting when they have never met? Is she a long-lost twin? A clairvoyant? Or a malevolent angel? Are we witnessing the flowering of a magical relationship or a descent into madness?",Griffin & Sabine: An Extraordinary Correspondence,38765,4.01,10th anniversary limited ed,Hardcover,46 pages
أحمد خالد توفيق,3503947,"
                  ",لقد عزَلَ الأغنياء أنفسهم في (يوتوبيا) الساحل الشمالي تحت حراسة المارينز الأمريكيين، يتعاطون المخدرات ويمارسون المتع المحرمة إلى أقصاها، بينما ينسحق الفقراء خارجها ينهش بعضهم لحم بعض من أجل العيش، دونما كهرباء أو صرف صحي أو رعاية طبية من أي نوع. ولكن حين يتسلل الراوي وصديقته (جرمينال) خارج (يوتوبيا) بدافع الملل وبحثا عن (صيد بشري) ,يوتوبيا,32796,3.9,الطبعة الأولى,Paperback,192 pages
Margaret Atwood,17262203,English,"A man-made plague has swept the earth, but a small group survives, along with the green-eyed Crakers – a gentle species bio-engineered to replace humans. Toby, onetime member of the Gods Gardeners and expert in mushrooms and bees, is still in love with street-smart Zeb, who has an interesting past. The Crakers’ reluctant prophet, Snowman-the-Jimmy, is hallucinating; Amanda is in shock from a Painballer attack; and Ivory Bill yearns for the provocative Swift Fox, who is flirting with Zeb. Meanwhile, giant Pigoons and malevolent Painballers threaten to attack. ",MaddAddam,42595,3.98,Deckle Edge,Hardcover,394 pages
Alyson Noel,7198988,English,"Ever is trying to help Haven make the transition into life as an immortal. But with Haven drunk on her new powers and acting recklessly, she poses the ultimate threat — exposing their secret world to the outside. But Ever's struggle to keep the Immortals hidden only propels Haven closer to the enemy: Roman and his evil companions.",Dark Flame,53926,3.73,1st Edition,Hardcover,320 pages
George R.R. Martin,12177850,English,"For the first time, all five novels in the epic fantasy series that inspired HBO's ""Game of Thrones ""are together in one boxed set. An immersive entertainment experience unlike any other, A Song of Ice and Fire has earned George R. R. Martin--dubbed ""the American Tolkien"" by ""Time"" magazine--international acclaim and millions of loyal readers. Now here is the entire monumental cycle: ",A Song of Ice and Fire,37474,4.63,Re-Packaged Edition,Mass Market Paperback,5216 pages
Peter Heller,13330761,English,"But when a random transmission beams through the radio of his 1956 Cessna, the voice ignites a hope deep inside him that a better",The Dog Stars,41125,3.9,First Edition,Hardcover,336 pages
Neil Gaiman,15719,English,", award-winning writer Neil Gaiman presents a unique vision of the Marvel Universe set four hundred years in the past. Classic Marvel icons such as the X-Men, Spider-Man, the Fantastic Four and Daredevil appear in this intriguing world of 17th-century science and sorcery, instantly familiar to readers, yet subtly different in this new time. ",Marvel 1602,46661,3.93,Quill Award Edition,Paperback,248 pages
Frank Miller,392297,English,"The first volume of the crime-comic megahit that introduced the now-infamous character Marv and spawned a blockbuster film returns in a newly redesigned edition, with a brand-new cover by Frank Miller - some of his first comics art in years! It's a lousy room in a lousy part of a lousy town. But Marv doesn't care. There's an angel in the room. She says her name is Goldie. A few hours later, Goldie's dead without a mark on her perfect body, and the cops are coming before anyone but Marv could know she's been killed. Somebody paid good money for this frame . . . With a new look generating more excitement than ever before, this third edition is the perfect way to attract a whole new generation of readers to Frank Miller's masterpiece!",Sin City Volume 1: The Hard Goodbye,42968,4.16,Third Edition,Paperback,208 pages
Carrie Jones,4070493,English,"Zara White suspects there's a freaky guy semi-stalking her. She's also obsessed with phobias. And it's true, she hasn't exactly been herself since her stepfather died. But exiling her to shivery Maine to live with her grandmother? That seems a bit extreme. The move is supposed to help her stay sane...but Zara's pretty sure her mom just can't deal with her right now.",Need,56597,3.71,1st Edition,Hardcover,306 pages
Peter Lerangis,5861926,English,"Spies report that Amy and Dan seem to be tracking the life of one of the most powerful fighters the world has ever known. If this fearsome warrior was a Cahill, his secrets are sure to be well-guarded..",The Sword Thief,42880,3.87,First Edition,Hardcover,156 pages
Dee Brown,76401,English,"Dorris Alexander “Dee” Brown (1908–2002) was a celebrated author of both fiction and nonfiction, whose classic study Bury My Heart at Wounded Knee is widely credited with exposing the systematic destruction of American Indian tribes to a world audience. Brown was born in Louisiana and grew up in Arkansas. He worked as a reporter and a printer before enrolling at Arkansas State Teachers College, where he met his future wife, Sally Stroud. He later earned two degrees in library science, and worked as a librarian while beginning his career as a writer. He went on to research and write more than thirty books, often centered on frontier history or overlooked moments of the Civil War. Brown continued writing until his death in 2002. ",Bury My Heart at Wounded Knee: An Indian History of the American West,43767,4.21,Thirtieth Anniversary Edition,Paperback,509 pages
Edgar Allan Poe,206172,English,"The blackness of eternal night encompassed me. The intense darkness oppressed and stifled me so that I struggled for breath.Having been condemned to death by the Spanish Inquisition, the narrator descends into a kind of hell. Dizzy with weakness and fainting with fear, he experiences such torments that death itself would be welcome. What troubles him most is the eternal question: how will he die?Toledo Prison is notorious for the torture of the condemned. What minds have dreamed up the terror of the pit in the center of the cell? What is the significance of the painted figure of Time with his menacing pendulum? Why do the walls glow with heat?Experience with the narrator the intensity of his suffering when death seems inevitable but its form uncertain. Can anything, or anybody, help him?",The Pit and the Pendulum,48015,4.15,Penguin 60s Classics,Paperback,56 pages
Kazue Kato,9876989,English,"Raised by Father Fujimoto, a famous exorcist, Rin Okumura never knew his real father. One day a fateful argument with Father Fujimoto forces Rin to face a terrible truth – the blood of the demon lord Satan runs in Rin's veins! Rin swears to defeat Satan, but doing that means entering the mysterious True Cross Academy and becoming an exorcist himself. Can Rin fight demons and keep his infernal bloodline a secret? It won't be easy, especially when drawing his father's sword releases the demonic power within him!",青の祓魔師 1,40439,4.36,SHONEN JUMP ADVANCED Manga Edition,Paperback,200 pages
Marjane Satrapi,9517,English,"In Persepolis, heralded by the Los Angeles Times as â€œone of the freshest and most original memoirs of our day,â€ Marjane Satrapi dazzled us with her heartrending memoir-in-comic-strips about growing up in Iran during the Islamic Revolution. Here is the continuation of her fascinating story. In 1984, Marjane flees fundamentalism and the war with Iraq to begin a new life in Vienna. Once there, she faces the trials of adolescence far from her friends and family, and while she soon carves out a place for herself among a group of fellow outsiders, she continues to struggle for a sense of belonging.",Persepolis 2 ,47441,4.23,First American Paperback Edition,Paperback,187 pages
Michael Scott,8458018,English,", Machiavelli and Billy the Kid will follow the plans the Elders have laid before them: they will loose the monsters of Alcatraz on the city of San Francisco, thereby triggering the end of the human race.",The Warlock,43994,4.17,First Edition,Hardcover,385 pages
Salman Rushdie,12781,English," is Salman Rushdie’s best-known and most galvanizing book. Set in a modern world filled with both mayhem and miracles, the story begins with a bang: the terrorist bombing of a London-bound jet in midflight. Two Indian actors of opposing sensibilities fall to earth, transformed into living sy",The Satanic Verses,43247,3.71,USA,Paperback,561 pages
