author,id,Language,description,title,NumberofRatings,GoodReadAverageRating,bookEdition,bookformat,numberofpages
Frank Miller,59952,English,"Frank Miller is an American writer, artist and film director best known for his film noir-style comic book stories. He is one of the most widely-recognized and popular creators in comics, and is one of the most influential comics creators of his generation. His most notable works include Sin City, The Dark Knight Returns, Batman Year One and 300.",300,38962,3.93,1st edition,Hardcover,88 pages
E.M. Forster,45195,English,"When Adela Quested and her elderly companion Mrs Moore arrive in the Indian town of Chandrapore, they quickly feel trapped by its insular and prejudiced 'Anglo-Indian' community. Determined to escape the parochial English enclave and explore the 'real India', they seek the guidance of the charming and mercurial Dr Aziz, a cultivated Indian Muslim. But a mysterious incident occurs while they are exploring the Marabar caves with Aziz, and the well-respected doctor soon finds himself at the centre of a scandal that rouses violent passions among both the British and their Indian subjects. A masterly portrait of a society in the grip of imperialism, ",A Passage to India,53405,3.67,Penguin Classics,Paperback,376 pages
L.J. Smith,1895792,English,"Elena: transformed, the golden girl has become what she once feared and desired.",The Fury and Dark Reunion,54472,3.74,First Edition,Paperback,520 pages
Nora Roberts,12716613,English,"Twelve years later, the woman known as Abigail Lowery lives on the outskirts of a small town in the Ozarks. A freelance programmer,",The Witness,50059,4.19,Large Print,Paperback,757 pages
Bo Hampton,93263,English,"This is Bo Hampton's 1993 Legend of Sleepy Hollow, a faithful adaptation of Washington Irving's tale surrounding the ghostly inhabitants of Tarrytown, New York around the time of the American Revolution. The cast of characters is headed up by the Headless Horseman himself. This edition boasts new covers and 16 pages of new material, including numerous preliminary sketches of scenes and characters.",The Legend of Sleepy Hollow,43307,3.96,Graphic Novel,Paperback,64 pages
Edgar Allan Poe,261240,English,The story is set in a nameless Italian city in an unspecified year (possibly sometime during the eighteenth century) and concerns the deadly revenge taken by the narrator on a friend wh,The Cask of Amontillado,50539,4.09,"BookSurge Classics, title no. 186",Paperback,20 pages
Roger Fisher,313605,English,"Describes a method of negotiation that isolates problems, focuses on interests, creates new options, and uses objective criteria to help two parties reach an agreement Amazon.com description: Product Description: Since its original publication nearly thirty years ago, Getting to Yes has helped millions of people learn a better way to negotiate. One of the primary business texts of the modern era, it is based on the work of the Harvard Negotiation Project, a group that deals with all levels of negotiation and conflict resolution. Getting to Yes offers a proven, step-by-step strategy for coming to mutually acceptable agreements in every sort of conflict. Thoroughly updated and revised, it offers readers a straight- forward, universally applicable method for negotiating personal and professional disputes without getting angry-or getting taken.This is by far the best thing I`ve ever read about negotiation. It is equally relevant for the individual who would like to keep his friends, property, and income and the statesman who would like to keep the peace."" --John Kenneth Galbraith""",Getting to Yes: Negotiating agreement without giving in,40490,3.89,Second Edition,Paperback,200 pages
William S. Burroughs,23940,English,", an unknown William S. Burroughs wrote ",Junky,43860,3.85,50th Anniversary Definitive Edition,Paperback,208 pages
Johann Wolfgang von Goethe,14706,English,"Goethe’s masterpiece and perhaps the greatest work in German literature, Faust has made the legendary German alchemist one of the central myths of the Western world. Here indeed is a monumental Faust, an audacious man boldly wagering with the devil, Mephistopheles, that no magic, sensuality, experience, or knowledge can lead him to a moment he would wish to last forever. Here, in Faust, Part I, the tremendous versatility of Goethe’s genius creates some of the most beautiful passages in literature. Here too we experience Goethe’s characteristic humor, the excitement and eroticism of the witches’ Walpurgis Night, and the moving emotion of Gretchen’s tragic fate.",Faust. Eine Tragödie,49198,3.93,German-English Edition,Paperback,327 pages
Alexandra Adornetto,7778981,English,"Three angels – Gabriel, the warrior; Ivy, the healer; and Bethany, the youngest and most human – are sent by Heaven to bring good to a world falling under the influence of darkness. They work hard to conceal their luminous glow, superhuman powers, and, most dangerous of all, their wings, all the while avoiding all human attachments.",Halo,59066,3.67,First Edition,Hardcover,485 pages
